step,gpu_mem_gb,gpu_mem_reserved_gb
1,8.148854,8.810547
2,7.740014,8.814453
3,7.616320,8.814453
4,7.741385,8.814453
5,7.770877,8.814453
6,7.859001,8.814453
7,7.846492,8.814453
8,7.580668,8.814453
9,7.835780,8.816406
10,7.984455,8.820312
11,7.650809,8.820312
12,7.822731,8.820312
13,7.657122,8.820312
14,7.877378,8.820312
15,8.044634,8.820312
16,7.552693,8.820312
17,7.715548,8.820312
18,7.963847,8.820312
19,7.951303,8.820312
20,7.915134,8.820312
21,7.699561,8.820312
22,7.711394,8.820312
23,7.725009,8.820312
24,7.900523,8.820312
25,7.914788,8.820312
26,7.870744,8.820312
27,7.889049,8.820312
28,8.027684,8.820312
29,8.218011,10.507812
30,7.889482,10.507812
31,7.890617,10.507812
32,7.835437,10.507812
33,7.630452,10.507812
34,7.744192,10.507812
35,8.134474,10.507812
36,7.809614,10.507812
37,7.672042,10.507812
38,7.705343,10.507812
39,7.810077,10.507812
40,7.938395,10.507812
41,7.929592,10.507812
42,7.889030,10.507812
43,8.096581,10.509766
44,7.799266,10.509766
45,7.889049,10.509766
46,7.798128,10.509766
47,8.058738,10.509766
48,7.915239,10.509766
49,7.836000,10.509766
50,7.656924,10.509766
51,7.913031,10.509766
52,8.109312,10.509766
53,7.856880,10.509766
54,7.799232,10.509766
55,7.669781,10.509766
56,7.867414,10.509766
57,7.787420,10.509766
58,7.657463,10.509766
59,7.760232,10.509766
60,7.604833,10.509766
61,7.847809,10.509766
62,7.768024,10.509766
63,7.888968,10.509766
64,7.889909,10.509766
65,7.879777,10.509766
66,7.938218,10.509766
67,7.768113,10.509766
68,7.724614,10.509766
69,7.658664,10.509766
70,7.901487,10.509766
71,7.725070,10.509766
72,7.887708,10.509766
73,7.633423,10.509766
74,8.043570,10.509766
75,7.699561,10.509766
76,8.121791,10.509766
77,8.072167,10.509766
78,7.914863,10.509766
79,7.914376,10.509766
80,7.846516,10.509766
81,7.712023,10.509766
82,7.739455,10.509766
83,7.674086,10.509766
84,7.725009,10.509766
85,7.963973,10.509766
86,7.520743,10.509766
87,7.951307,10.509766
88,7.629767,10.509766
89,7.710730,10.509766
90,7.797043,10.509766
91,7.939268,10.509766
92,7.754287,10.509766
93,7.739907,10.509766
94,7.752801,10.509766
95,7.818443,10.509766
96,7.834774,10.509766
97,7.672645,10.509766
98,8.027684,10.509766
99,8.162342,10.509766
100,7.667400,10.509766
101,7.811304,10.509766
102,7.810077,10.509766
103,7.742738,10.509766
104,8.165153,10.509766
105,8.099367,10.509766
106,7.822843,10.509766
107,7.717562,10.509766
108,7.592930,10.509766
109,7.660947,10.509766
110,7.751665,10.509766
111,7.723611,10.509766
112,8.123061,10.511719
113,7.982521,10.511719
114,7.710909,10.511719
115,7.835048,10.511719
116,7.833987,10.511719
117,7.631066,10.511719
118,7.644174,10.511719
119,7.800781,10.511719
120,7.888179,10.511719
121,7.980223,10.511719
122,7.798411,10.511719
123,7.712751,10.511719
124,7.951068,10.511719
125,7.859431,10.511719
126,7.699224,10.511719
127,7.925608,10.511719
128,8.122962,10.511719
129,7.821962,10.511719
130,7.889027,10.511719
131,7.788094,10.511719
132,7.786362,10.511719
133,7.717539,10.511719
134,7.859004,10.511719
135,7.711255,10.511719
136,7.711367,10.511719
137,7.738557,10.511719
138,7.868554,10.511719
139,8.029279,10.511719
140,7.665544,10.511719
141,7.835522,10.511719
142,7.800776,10.511719
143,7.591939,10.511719
144,7.710918,10.511719
145,7.656949,10.511719
146,7.631012,10.511719
147,7.642836,10.511719
148,7.859545,10.511719
149,7.954438,10.511719
150,7.810766,10.511719
151,8.027487,10.511719
152,7.698500,10.511719
153,7.643958,10.511719
154,7.899469,10.511719
155,7.725603,10.511719
156,7.952692,10.511719
157,7.912255,10.511719
158,7.599443,10.511719
159,7.598185,10.511719
160,7.656590,10.511719
161,7.969392,10.511719
162,7.914803,10.511719
163,7.752072,10.511719
164,7.698381,10.511719
165,7.799784,10.511719
166,7.846032,10.511719
167,7.768213,10.511719
168,7.750998,10.511719
169,7.889482,10.511719
170,7.810928,10.511719
171,7.969308,10.511719
172,7.769344,10.511719
173,7.835791,10.511719
174,7.875393,10.511719
175,7.713540,10.511719
176,7.642985,10.511719
177,7.520296,10.511719
178,8.160419,10.511719
179,7.751941,10.511719
180,7.858902,10.511719
181,7.772053,10.511719
182,7.847507,10.511719
183,7.662466,10.511719
184,7.981657,10.511719
185,7.833893,10.511719
186,7.858546,10.511719
187,7.822668,10.511719
188,7.900764,10.511719
189,7.925213,10.511719
190,7.780298,10.511719
191,7.833835,10.511719
192,7.579981,10.511719
193,8.108346,10.511719
194,7.797616,10.511719
195,7.738979,10.511719
196,7.981907,10.511719
197,8.160795,10.511719
198,8.218583,10.511719
199,7.604966,10.511719
200,7.505947,10.511719
201,7.835774,10.511719
202,7.965681,10.511719
203,7.915425,10.511719
204,7.670842,10.511719
205,7.900076,10.511719
206,7.846837,10.511719
207,7.642945,10.511719
208,7.818986,10.511719
209,7.822423,10.511719
210,7.711740,10.511719
211,7.659030,10.511719
212,7.630685,10.511719
213,7.644556,10.511719
214,7.758327,10.511719
215,7.767690,10.511719
216,7.739189,10.511719
217,7.816462,10.511719
218,7.920815,10.511719
219,7.662696,10.511719
220,7.672391,10.511719
221,7.711974,10.511719
222,7.673057,10.511719
223,7.859620,10.511719
224,7.809188,10.511719
225,7.643092,10.511719
226,7.940264,10.511719
227,7.710236,10.511719
228,7.868554,10.511719
229,7.604705,10.511719
230,7.791908,10.511719
231,7.671170,10.511719
232,7.781109,10.511719
233,7.888577,10.511719
234,8.139045,10.511719
235,8.044654,10.511719
236,8.121926,10.511719
237,8.058445,10.511719
238,7.700315,10.511719
239,7.698502,10.511719
240,7.657359,10.511719
241,7.723905,10.511719
242,7.846386,10.511719
243,7.693178,10.511719
244,7.810671,10.511719
245,7.914412,10.511719
246,7.870112,10.511719
247,7.914789,10.511719
248,7.633423,10.511719
249,8.096750,10.511719
250,7.834128,10.511719
