step,gpu_mem_gb,gpu_mem_reserved_gb
1,8.982891,9.677734
2,8.572725,9.685547
3,8.858395,9.689453
4,8.833793,9.691406
5,8.860780,9.691406
6,9.089580,11.791016
7,8.874721,11.791016
8,9.198109,13.949219
9,8.624558,13.949219
10,8.888548,13.949219
11,8.987839,13.949219
12,9.046652,13.949219
13,8.962526,13.949219
14,8.804828,13.949219
15,8.760029,13.949219
16,8.822704,16.140625
17,8.716978,16.140625
18,6.922341,16.140625
19,8.987981,16.140625
20,8.626304,16.140625
21,9.201759,16.140625
22,8.861115,16.140625
23,8.770970,16.140625
24,8.731366,16.140625
25,8.846847,16.140625
26,9.301564,16.144531
27,8.772816,16.144531
28,8.819363,16.144531
29,8.771008,16.144531
30,8.998743,16.144531
31,8.719956,16.144531
32,8.625051,16.144531
33,8.889835,16.144531
34,8.858851,16.144531
35,8.831295,16.144531
36,6.993323,16.320312
37,8.771466,16.320312
38,8.660852,16.320312
39,8.859120,16.320312
40,8.889387,16.320312
41,8.845040,16.320312
42,8.987981,16.320312
43,8.961960,16.320312
44,8.758551,16.320312
45,8.832683,16.320312
46,9.089184,16.320312
47,8.798999,16.320312
48,8.502874,16.320312
49,9.047763,16.320312
50,8.872494,16.320312
51,9.300148,16.320312
52,8.986209,16.320312
53,8.891109,16.320312
54,7.127166,16.320312
55,8.858943,16.320312
56,8.861115,16.320312
57,8.889835,16.320312
58,8.758226,16.320312
59,8.985728,16.320312
60,9.001783,16.320312
61,9.200310,16.320312
62,8.469414,16.320312
63,8.846671,16.320312
64,8.902763,16.320312
65,8.846118,16.320312
66,8.637498,16.320312
67,8.804606,16.320312
68,9.297473,16.320312
69,8.819414,16.320312
70,9.000108,16.320312
71,8.986216,16.320312
72,7.003949,16.320312
73,9.047487,16.320312
74,8.998743,16.320312
75,8.819363,16.320312
76,8.902154,16.320312
77,8.998743,16.320312
78,8.860740,16.320312
79,8.873619,16.320312
80,8.858851,16.320312
81,8.673658,16.320312
82,8.844560,16.320312
83,9.294654,16.320312
84,8.747122,16.320312
85,8.697238,16.320312
86,8.662872,16.320312
87,8.962038,16.320312
88,8.964026,16.320312
89,8.832151,16.320312
90,6.897590,16.320312
91,8.872736,16.320312
92,9.198491,16.320312
93,8.638017,16.320312
94,8.949279,16.320312
95,8.770545,16.320312
96,8.859256,16.320312
97,8.717955,16.320312
98,9.046929,16.320312
99,8.818340,16.320312
100,8.844253,16.320312
101,9.154843,16.320312
102,8.833517,16.320312
103,8.987355,16.320312
104,8.872955,16.320312
105,8.961960,16.320312
106,8.999338,16.320312
107,8.865412,16.320312
108,7.075287,16.320312
109,8.798097,16.320312
110,8.718514,16.320312
111,8.602825,16.320312
112,9.048671,16.320312
113,8.889835,16.320312
114,8.571792,16.320312
115,8.986887,16.320312
116,8.871109,16.320312
117,8.832416,16.320312
118,8.820357,16.320312
119,8.844281,16.320312
120,8.638035,16.320312
121,8.796947,16.320312
122,8.731366,16.320312
123,8.999969,16.320312
124,8.858780,16.320312
125,8.963058,16.320312
126,6.761448,16.320312
127,8.660870,16.320312
128,9.155517,16.320312
129,8.758096,16.320312
130,8.985774,16.320312
131,8.770545,16.320312
132,8.818586,16.320312
133,8.874084,16.320312
134,8.559372,16.320312
135,8.744920,16.320312
136,8.797399,16.320312
137,8.985427,16.320312
138,8.962379,16.320312
139,8.820339,16.320312
140,8.831180,16.320312
141,8.859120,16.320312
142,8.859861,16.320312
143,8.900718,16.320312
144,7.206680,16.320312
145,8.818600,16.320312
146,8.845203,16.320312
147,8.963690,16.320312
148,8.745160,16.320312
149,8.859256,16.320312
150,8.817112,16.320312
151,9.000108,16.320312
152,9.198308,16.320312
153,9.046121,16.320312
154,8.612144,16.320312
155,9.089158,16.320312
156,8.889041,16.320312
157,8.697817,16.320312
158,8.570892,16.320312
159,8.771752,16.320312
160,8.963835,16.320312
161,8.637017,16.320312
162,7.075287,16.320312
163,8.636065,16.320312
164,8.890223,16.320312
165,8.844476,16.320312
166,8.890007,16.320312
167,8.859628,16.320312
168,8.950592,16.320312
169,8.819363,16.320312
170,9.200166,16.320312
171,8.791789,16.320312
172,8.961740,16.320312
173,8.757814,16.320312
174,8.871279,16.320312
175,8.770608,16.320312
176,8.674947,16.320312
177,8.760029,16.320312
178,8.848653,16.320312
179,8.772816,16.320312
180,6.824464,16.320312
181,8.638368,16.320312
182,8.771591,16.320312
183,8.860780,16.320312
184,8.673658,16.320312
185,8.612364,16.320312
186,8.863226,16.320312
187,8.902058,16.320312
188,8.844389,16.320312
189,8.998741,16.320312
190,8.612502,16.320312
191,9.046508,16.320312
192,8.950382,16.320312
193,9.202884,16.320312
194,8.671763,16.320312
195,8.648617,16.320312
196,8.859100,16.320312
197,8.999338,16.320312
198,7.206680,16.320312
199,8.626168,16.320312
200,8.624558,16.320312
201,8.501674,16.320312
202,8.846889,16.320312
203,8.858851,16.320312
204,8.817833,16.320312
205,8.612246,16.320312
206,8.844476,16.320312
207,8.791398,16.320312
208,8.862131,16.320312
209,9.046486,16.320312
210,8.963132,16.320312
211,8.872494,16.320312
212,9.299943,16.320312
213,8.818035,16.320312
214,8.961946,16.320312
215,8.889046,16.320312
216,7.029328,16.320312
217,8.831924,16.320312
218,8.674878,16.320312
219,8.902763,16.320312
220,8.858780,16.320312
221,8.950845,16.320312
222,8.770970,16.320312
223,9.087961,16.320312
224,8.771591,16.320312
225,8.863802,16.320312
226,8.987981,16.320312
227,8.649809,16.320312
228,8.719956,16.320312
229,8.818962,16.320312
230,8.817875,16.320312
231,8.637935,16.320312
232,9.047491,16.320312
233,9.296124,16.320312
234,7.207014,16.320312
235,8.872869,16.320312
236,8.987981,16.320312
237,8.796708,16.320312
