step,gpu_mem_gb,gpu_mem_reserved_gb
1,9.775872,10.308594
2,9.435814,10.312500
3,9.309186,12.738281
4,9.996128,15.234375
5,9.254591,15.234375
6,9.740645,15.246094
7,9.284891,15.246094
8,9.419954,17.759766
9,9.668826,17.759766
10,9.284185,17.759766
11,9.711480,17.759766
12,9.367765,17.759766
13,9.510002,17.759766
14,9.369128,17.759766
15,9.056704,17.759766
16,9.353881,17.759766
17,9.399282,17.759766
18,9.879315,17.759766
19,9.306547,17.759766
20,9.447064,17.759766
21,9.284183,17.759766
22,9.370098,17.759766
23,9.942785,17.759766
24,9.656971,17.759766
25,9.470864,17.759766
26,9.406414,17.759766
27,9.307109,17.759766
28,9.617558,17.759766
29,9.319909,17.759766
30,9.410793,17.759766
31,9.712865,17.759766
32,9.533998,17.759766
33,9.345132,17.759766
34,9.459613,17.759766
35,9.619663,17.759766
36,9.320921,17.759766
37,9.668542,17.759766
38,9.478432,17.759766
39,9.811402,17.759766
40,9.436572,17.759766
41,9.434330,17.759766
42,9.822621,17.759766
43,9.892424,17.759766
44,9.510002,17.759766
45,9.452671,17.759766
46,9.811402,17.759766
47,9.739075,17.759766
48,9.548466,17.759766
49,9.320006,17.759766
50,9.266493,17.759766
51,9.319905,17.759766
52,9.813209,17.759766
53,9.524051,17.759766
54,9.712533,17.759766
55,9.577127,17.759766
56,9.308604,17.759766
57,9.400014,17.759766
58,9.715328,17.759766
59,10.081893,20.308594
60,9.509280,20.308594
61,9.509112,20.308594
62,9.284652,20.308594
63,9.536066,20.308594
64,9.168905,20.308594
65,9.401549,20.308594
66,9.792448,20.308594
67,9.266824,20.308594
68,9.465031,20.308594
69,9.439209,20.308594
70,9.286031,20.308594
71,9.284184,20.308594
72,9.369291,20.308594
73,9.843675,20.308594
74,9.447487,20.308594
75,9.057171,20.308594
76,9.319633,20.308594
77,9.367765,20.308594
78,9.507849,20.308594
79,9.212698,20.308594
80,9.354891,20.308594
81,9.670228,20.308594
82,9.576386,20.308594
83,9.537907,20.308594
84,9.355314,20.308594
85,9.878565,20.308594
86,9.617655,20.308594
87,9.408048,20.308594
88,9.712782,20.308594
89,9.470795,20.308594
90,9.267318,20.308594
91,9.068622,20.308594
92,9.435814,20.308594
93,9.617844,20.308594
94,9.908238,20.308594
95,9.654148,20.308594
96,9.283467,20.308594
97,9.435359,20.308594
98,9.617432,20.308594
99,9.344738,20.308594
100,9.523313,20.308594
101,9.344121,20.308594
102,9.813004,20.308594
103,9.298146,20.308594
104,9.411852,20.308594
105,9.413249,20.308594
106,9.655641,20.308594
107,9.355347,20.308594
108,9.714539,20.308594
109,9.368197,20.308594
110,9.144759,20.308594
111,9.910001,20.308594
112,9.711507,20.308594
113,9.308725,20.308594
114,9.320006,20.308594
115,9.994788,20.308594
116,9.415579,20.308594
117,9.253465,20.308594
118,9.435660,20.308594
119,9.447064,20.308594
120,9.458812,20.308594
121,9.656041,20.308594
122,9.283413,20.308594
123,9.541185,20.308594
124,9.320006,20.308594
125,9.814300,20.308594
126,9.459367,20.308594
127,9.436968,20.308594
128,9.523028,20.308594
129,9.310239,20.308594
130,9.459492,20.308594
131,9.642453,20.308594
132,9.413966,20.308594
133,9.995981,20.308594
134,10.081791,20.308594
135,9.436840,20.308594
136,9.943628,20.308594
137,9.414299,20.308594
138,9.460613,20.308594
139,9.617626,20.308594
140,9.436644,20.308594
141,9.320006,20.308594
142,9.367230,20.308594
143,9.417854,20.308594
144,9.471893,20.308594
145,9.142949,20.308594
146,9.404178,20.308594
147,9.208317,20.308594
148,9.449758,20.308594
149,9.222869,20.308594
150,9.811823,20.308594
151,9.616508,20.308594
152,9.523030,20.308594
153,9.435814,20.308594
154,9.845427,20.310547
155,9.712806,20.310547
156,9.307505,20.310547
157,9.320642,20.310547
158,9.367230,20.310547
159,9.551962,20.310547
160,9.411983,20.310547
161,9.910384,20.310547
162,9.368973,20.310547
163,9.509294,20.310547
164,9.332713,20.310547
165,9.576386,20.310547
166,9.534031,20.310547
167,9.825016,20.310547
168,9.507564,20.310547
169,9.308305,20.310547
170,9.984999,20.310547
171,9.222070,20.310547
172,9.379997,20.310547
173,9.449661,20.310547
174,9.285320,20.310547
175,9.553349,20.310547
176,9.436666,20.310547
177,9.997010,20.310547
178,9.400596,20.310547
179,9.792407,20.310547
180,9.736673,20.310547
181,9.437351,20.310547
182,9.511177,20.310547
183,9.657170,20.310547
184,9.382892,20.310547
185,9.355708,20.310547
186,9.319826,20.310547
187,9.670185,20.312500
188,9.509912,20.312500
189,9.656979,20.312500
190,9.620040,20.312500
191,9.179733,20.312500
192,9.307859,20.312500
193,9.331850,20.312500
194,9.512389,20.312500
195,9.615877,20.312500
196,9.295722,20.312500
197,9.421729,20.312500
198,9.179056,20.312500
199,9.893893,20.312500
200,9.218689,20.312500
201,9.909054,20.312500
202,10.080788,20.312500
203,9.399282,20.312500
204,9.510095,20.312500
205,9.399282,20.312500
206,9.353881,20.312500
207,9.712036,20.312500
208,9.843336,20.312500
209,9.472035,20.312500
210,9.906913,20.312500
211,9.995435,20.312500
212,9.281543,20.312500
213,9.712789,20.312500
214,9.436644,20.312500
215,9.400596,20.312500
216,9.507910,20.312500
217,9.814300,20.312500
218,9.446416,20.312500
219,9.308523,20.312500
220,9.367393,20.312500
221,9.307530,20.312500
222,9.508695,20.312500
223,9.736849,20.312500
224,9.507537,20.312500
225,9.645589,20.312500
226,9.712395,20.312500
227,9.857247,20.312500
228,9.252758,20.312500
229,9.355899,20.312500
230,9.319633,20.312500
231,9.380846,20.312500
232,9.576884,20.312500
233,9.539852,20.312500
234,9.946043,20.312500
235,9.079890,20.312500
236,9.738289,20.312500
237,9.344425,20.312500
238,9.305454,20.312500
239,9.812063,20.312500
240,9.254373,20.312500
241,9.437613,20.312500
242,9.355304,20.312500
243,9.415582,20.312500
244,9.987750,20.312500
245,9.507910,20.312500
246,9.343482,20.312500
247,9.670341,20.312500
248,9.435359,20.312500
249,9.576563,20.312500
250,9.356303,20.312500
