step,gpu_mem_gb,gpu_mem_reserved_gb
1,3.744991,3.789062
2,3.491932,4.095703
3,3.280098,4.095703
4,3.364206,4.095703
5,3.479776,4.095703
6,3.481354,4.095703
7,3.462463,4.095703
8,3.282273,4.095703
9,3.629276,4.101562
10,3.647833,4.101562
11,3.533685,4.101562
12,3.497833,4.101562
13,3.430287,4.101562
14,3.485491,4.101562
15,3.636187,4.101562
16,3.290310,4.101562
17,3.545414,4.101562
18,3.576793,4.101562
19,3.547523,4.101562
20,3.501483,4.101562
21,3.282344,4.101562
22,3.355537,4.101562
23,3.311807,4.101562
24,3.476036,4.101562
25,3.503970,4.101562
26,3.730238,4.101562
27,3.479554,4.101562
28,3.637530,4.101562
29,3.784502,5.123047
30,3.484477,5.123047
31,3.543313,5.123047
32,3.449313,5.123047
33,3.293683,5.123047
34,3.494916,5.123047
35,3.715476,5.123047
36,3.427149,5.123047
37,3.300652,5.123047
38,3.543430,5.123047
39,3.369327,5.123047
40,3.517456,5.123047
41,3.536899,5.123047
42,3.485822,5.123047
43,3.696909,5.123047
44,3.454337,5.123047
45,3.478777,5.123047
46,3.714184,5.123047
47,3.642248,5.123047
48,3.649153,5.123047
49,3.440241,5.123047
50,3.374341,5.123047
51,3.509446,5.123047
52,3.694864,5.123047
53,3.733302,5.123047
54,3.727789,5.123047
55,3.299247,5.123047
56,3.544243,5.123047
57,3.426173,5.123047
58,3.380942,5.123047
59,3.588223,5.123047
60,3.379353,5.123047
61,3.579884,5.123047
62,3.444794,5.123047
63,2.161115,5.416016
64,3.484519,5.416016
65,3.500539,5.416016
66,3.553886,5.416016
67,3.534295,5.416016
68,3.419059,5.416016
69,3.359365,5.416016
70,3.421470,5.416016
71,3.497536,5.416016
72,3.465355,5.416016
73,3.464133,5.416016
74,3.469090,5.416016
75,3.633138,5.416016
76,3.297487,5.416016
77,3.730685,5.416016
78,3.696074,5.416016
79,3.659036,5.416016
80,3.504959,5.416016
81,3.465682,5.416016
82,3.304561,5.416016
83,3.468752,5.416016
84,3.481466,5.416016
85,3.314664,5.416016
86,3.578369,5.416016
87,3.277529,5.416016
88,3.547464,5.416016
89,3.369046,5.416016
90,3.316338,5.416016
91,3.387350,5.416016
92,3.517984,5.416016
93,3.575340,5.416016
94,3.366610,5.416016
95,3.638478,5.416016
96,3.544692,5.416016
97,3.466204,5.416016
98,3.729828,5.416016
99,3.638486,5.416016
100,3.750230,5.416016
101,3.546948,5.416016
102,3.432873,5.416016
103,3.378248,5.416016
104,3.786489,5.416016
105,3.729743,5.416016
106,3.702173,5.416016
107,3.502653,5.416016
108,3.522537,5.416016
109,3.262333,5.416016
110,3.304008,5.416016
111,3.361395,5.416016
112,3.445129,5.416016
113,3.713329,5.416016
114,3.598605,5.416016
115,3.458499,5.416016
116,3.454758,5.416016
117,3.514543,5.416016
118,3.540670,5.416016
119,3.712813,5.416016
120,3.483140,5.416016
121,3.483619,5.416016
122,3.574477,5.416016
123,3.384450,5.416016
124,3.359865,5.416016
125,3.521447,5.416016
126,2.135389,5.416016
127,3.474026,5.416016
128,3.292510,5.416016
129,3.523429,5.416016
130,3.731280,5.416016
131,3.466922,5.416016
132,3.475420,5.416016
133,3.464930,5.416016
134,3.394483,5.416016
135,3.540099,5.416016
136,3.455459,5.416016
137,3.328788,5.416016
138,3.490337,5.416016
139,3.466279,5.416016
140,3.723110,5.416016
141,3.637412,5.416016
142,3.581239,5.416016
143,3.449414,5.416016
144,3.393372,5.416016
145,3.463049,5.416016
146,3.502009,5.416016
147,3.376523,5.416016
148,3.421491,5.416016
149,3.402812,5.416016
150,3.460786,5.416016
151,3.555987,5.416016
152,3.471133,5.416016
153,3.630040,5.416016
154,3.374510,5.416016
155,3.695891,5.416016
156,3.509225,5.416016
157,3.636965,5.416016
158,3.533473,5.416016
159,3.649858,5.416016
160,3.521745,5.416016
161,3.731108,5.416016
162,3.277333,5.416016
163,3.710952,5.416016
164,3.505147,5.416016
165,3.655726,5.416016
166,3.298628,5.416016
167,3.374145,5.416016
168,3.447568,5.416016
169,3.372312,5.416016
170,3.361424,5.416016
171,3.472763,5.416016
172,3.403417,5.416016
173,3.687096,5.416016
174,3.483086,5.416016
175,3.650813,5.416016
176,3.464343,5.416016
177,3.463867,5.416016
178,3.280706,5.416016
179,3.636731,5.416016
180,3.751322,5.416016
181,3.359712,5.416016
182,3.465232,5.416016
183,3.784624,5.416016
184,3.577311,5.416016
185,3.393369,5.416016
186,3.729780,5.416016
187,3.450332,5.416016
188,3.490154,5.416016
189,2.209667,5.416016
190,3.458295,5.416016
191,3.491930,5.416016
192,3.519231,5.416016
193,3.713149,5.416016
194,3.443486,5.416016
195,3.589022,5.416016
196,3.692297,5.416016
197,3.414790,5.416016
198,3.462843,5.416016
199,3.601667,5.416016
200,3.726126,5.416016
201,3.790369,5.416016
202,3.458453,5.416016
203,3.426611,5.416016
204,3.441216,5.416016
205,3.538350,5.416016
206,3.646961,5.416016
207,3.306183,5.416016
208,3.494835,5.416016
209,3.466219,5.416016
210,3.286975,5.416016
211,3.574060,5.416016
212,3.454926,5.416016
213,3.369292,5.416016
214,3.461840,5.416016
215,3.363917,5.416016
216,3.492768,5.416016
217,3.543676,5.416016
218,3.459795,5.416016
219,3.372561,5.416016
220,3.571002,5.416016
221,3.748093,5.416016
222,3.476659,5.416016
223,3.462992,5.416016
224,3.326781,5.416016
225,3.442026,5.416016
226,3.470387,5.416016
227,3.460958,5.416016
228,3.379786,5.416016
229,3.536676,5.416016
230,3.491855,5.416016
231,3.726723,5.416016
232,3.314892,5.416016
233,3.537933,5.416016
234,3.419780,5.416016
235,3.635469,5.416016
236,3.466733,5.416016
237,3.714501,5.416016
238,3.643439,5.416016
239,3.727040,5.416016
240,3.650875,5.416016
241,3.316825,5.416016
242,3.285499,5.416016
243,3.688741,5.416016
244,3.321715,5.416016
245,3.458088,5.416016
246,3.624072,5.416016
247,3.422209,5.416016
248,3.512409,5.416016
249,3.658039,5.416016
250,3.515497,5.416016
