step,gpu_mem_gb,gpu_mem_reserved_gb
1,4.620622,4.636719
2,4.527385,5.062500
3,4.527511,5.062500
4,4.574800,5.062500
5,4.564252,5.062500
6,4.730374,6.398438
7,4.550328,6.398438
8,4.886193,7.781250
9,4.543618,7.781250
10,4.580742,7.781250
11,4.759799,7.781250
12,4.697598,7.781250
13,4.632152,7.781250
14,4.530182,7.781250
15,4.585052,7.781250
16,4.917536,9.175781
17,4.689307,9.175781
18,3.697364,9.175781
19,4.651644,9.175781
20,4.711419,9.175781
21,4.892776,9.175781
22,4.585406,9.175781
23,4.543858,9.175781
24,4.436086,9.175781
25,4.737278,9.175781
26,4.929535,9.175781
27,4.706162,9.175781
28,4.521288,9.175781
29,4.580563,9.175781
30,4.643305,9.175781
31,4.628603,9.175781
32,4.532738,9.175781
33,4.574297,9.175781
34,4.561309,9.175781
35,4.601918,9.175781
36,3.628746,9.208984
37,4.470859,9.208984
38,4.493852,9.208984
39,4.647711,9.208984
40,4.703069,9.208984
41,4.660368,9.208984
42,4.635013,9.208984
43,4.620632,9.208984
44,4.529456,9.208984
45,4.518920,9.208984
46,4.761759,9.208984
47,4.910107,9.208984
48,4.383190,9.208984
49,4.716333,9.208984
50,4.533771,9.208984
51,4.911775,9.208984
52,4.655514,9.208984
53,4.565659,9.208984
54,3.657252,9.208984
55,4.527979,9.208984
56,4.595347,9.208984
57,4.565459,9.208984
58,4.442821,9.208984
59,4.661113,9.208984
60,4.771012,9.208984
61,4.897708,9.208984
62,4.708229,9.208984
63,4.524146,9.208984
64,4.570726,9.208984
65,4.635506,9.208984
66,4.735334,9.208984
67,4.477776,9.208984
68,4.924943,9.208984
69,4.522970,9.208984
70,4.636506,9.208984
71,4.710118,9.208984
72,3.618120,9.208984
73,4.713487,9.208984
74,4.642956,9.208984
75,4.560420,9.208984
76,4.654906,9.208984
77,4.632649,9.208984
78,4.543069,9.208984
79,4.882672,9.208984
80,4.534381,9.208984
81,4.729267,9.208984
82,4.530429,9.208984
83,4.916842,9.208984
84,4.535275,9.208984
85,4.694130,9.208984
86,4.380017,9.208984
87,4.630719,9.208984
88,4.573525,9.208984
89,4.757610,9.208984
90,3.697012,9.208984
91,4.580319,9.208984
92,4.888031,9.208984
93,4.699119,9.208984
94,4.589153,9.208984
95,4.466527,9.208984
96,4.547362,9.208984
97,4.531645,9.208984
98,4.720558,9.208984
99,4.527457,9.208984
100,4.720417,9.208984
101,4.768013,9.208984
102,4.559624,9.208984
103,4.655054,9.208984
104,4.534910,9.208984
105,4.630874,9.208984
106,4.653996,9.208984
107,4.923073,9.208984
108,3.667602,9.208984
109,4.916254,9.208984
110,4.564862,9.208984
111,4.456872,9.208984
112,4.702598,9.208984
113,4.565473,9.208984
114,4.565758,9.208984
115,4.651791,9.208984
116,4.733936,9.208984
117,4.774112,9.208984
118,4.716609,9.208984
119,4.544687,9.208984
120,4.592452,9.208984
121,4.884356,9.208984
122,4.446012,9.208984
123,4.639754,9.208984
124,4.530142,9.208984
125,4.634533,9.208984
126,3.438108,9.208984
127,4.634033,9.208984
128,4.770396,9.208984
129,4.690295,9.208984
130,4.655169,9.208984
131,4.466290,9.208984
132,4.545957,9.208984
133,4.878949,9.208984
134,4.448304,9.208984
135,4.429970,9.208984
136,4.919718,9.208984
137,4.626960,9.208984
138,4.583395,9.208984
139,4.565822,9.208984
140,4.724260,9.208984
141,4.654555,9.208984
142,4.525892,9.208984
143,4.636550,9.208984
144,3.733798,9.208984
145,4.530212,9.208984
146,4.547932,9.208984
147,4.593552,9.208984
148,4.772451,9.208984
149,4.564386,9.208984
150,4.584023,9.208984
151,4.640224,9.208984
152,4.923380,9.208984
153,4.704562,9.208984
154,4.652515,9.208984
155,4.732613,9.208984
156,4.570565,9.208984
157,4.530170,9.208984
158,4.543937,9.208984
159,4.461970,9.208984
160,4.659641,9.208984
161,4.442974,9.208984
162,3.609750,9.208984
163,4.348356,9.208984
164,4.586754,9.208984
165,4.532146,9.208984
166,4.759496,9.208984
167,4.655715,9.208984
168,4.582170,9.208984
169,4.515838,9.208984
170,4.881254,9.208984
171,4.468696,9.208984
172,4.635442,9.208984
173,4.729956,9.208984
174,4.625864,9.208984
175,4.638669,9.208984
176,4.535628,9.208984
177,4.587548,9.208984
178,4.924761,9.208984
179,4.688262,9.208984
180,3.573393,9.208984
181,4.512726,9.208984
182,4.437903,9.208984
183,4.571002,9.208984
184,4.725881,9.208984
185,4.541033,9.208984
186,4.916962,9.208984
187,4.582981,9.208984
188,4.529500,9.208984
189,4.654523,9.208984
190,4.632153,9.208984
191,4.723039,9.208984
192,4.579069,9.208984
193,4.888139,9.208984
194,4.543802,9.208984
195,4.366542,9.208984
196,4.534646,9.208984
197,4.638317,9.208984
198,3.724776,9.208984
199,4.392120,9.208984
200,4.546286,9.208984
201,4.521688,9.208984
202,4.881502,9.208984
203,4.537732,9.208984
204,4.632267,9.208984
205,4.768843,9.208984
206,4.527824,9.208984
207,4.552853,9.208984
208,4.583319,9.208984
209,4.719203,9.208984
210,4.576778,9.208984
211,4.548685,9.208984
212,4.917237,9.208984
213,4.725720,9.208984
214,4.625836,9.208984
215,4.564950,9.208984
216,3.582491,9.208984
217,4.654534,9.208984
218,4.508929,9.208984
219,4.574605,9.208984
220,4.562929,9.208984
221,4.599779,9.208984
222,4.535906,9.208984
223,4.732302,9.208984
