step,gpu_mem_gb,gpu_mem_reserved_gb
1,5.165628,5.283203
2,4.978591,5.759766
3,5.194615,6.263672
4,5.376441,7.822266
5,5.123460,7.822266
6,5.196435,7.822266
7,5.214443,7.822266
8,5.403989,9.386719
9,5.141646,9.386719
10,4.810122,9.386719
11,5.177620,9.386719
12,4.909553,9.386719
13,5.019958,9.386719
14,4.941671,9.386719
15,4.865908,9.386719
16,5.056643,9.386719
17,4.929512,9.386719
18,5.263054,9.386719
19,5.036335,9.386719
20,4.990518,9.386719
21,4.819680,9.386719
22,5.204261,9.386719
23,5.349344,9.386719
24,5.097775,9.386719
25,5.025966,9.386719
26,5.342925,9.386719
27,5.129036,9.386719
28,5.080734,9.386719
29,5.014559,9.386719
30,4.942477,9.386719
31,5.223834,9.386719
32,5.099325,9.386719
33,4.859289,9.386719
34,4.969421,9.386719
35,5.101741,9.386719
36,5.239077,9.386719
37,5.131333,9.386719
38,5.371119,9.386719
39,5.191559,9.386719
40,4.950727,9.386719
41,5.132678,9.386719
42,5.203782,9.386719
43,5.326272,9.386719
44,4.978037,9.386719
45,5.376320,9.386719
46,5.176335,9.386719
47,5.140258,9.386719
48,5.035688,9.386719
49,4.970696,9.386719
50,4.764077,9.386719
51,5.031194,9.386719
52,5.181053,9.386719
53,5.033069,9.386719
54,5.140221,9.386719
55,5.022995,9.386719
56,4.895639,9.386719
57,4.933687,9.386719
58,5.125038,9.386719
59,5.436331,10.968750
60,5.046512,10.968750
61,4.991886,10.968750
62,5.334779,10.968750
63,3.064687,11.060547
64,5.016569,11.060547
65,4.817910,11.060547
66,4.979272,11.060547
67,5.199512,11.060547
68,4.893057,11.060547
69,5.423519,11.060547
70,5.122012,11.060547
71,5.084761,11.060547
72,4.966945,11.060547
73,5.179489,11.060547
74,5.210790,11.060547
75,4.950752,11.060547
76,4.761616,11.060547
77,4.884727,11.060547
78,4.904774,11.060547
79,5.034418,11.060547
80,4.828818,11.060547
81,5.227796,11.060547
82,5.206963,11.060547
83,5.102183,11.060547
84,5.045361,11.060547
85,4.902197,11.060547
86,5.260045,11.060547
87,5.215371,11.060547
88,5.356765,11.060547
89,5.338414,11.060547
90,4.965486,11.060547
91,4.891036,11.060547
92,4.730589,11.060547
93,4.964638,11.060547
94,5.043410,11.060547
95,5.333394,11.060547
96,5.106733,11.060547
97,5.193180,11.060547
98,4.932330,11.060547
99,5.075064,11.060547
100,5.186118,11.060547
101,5.034878,11.060547
102,5.185972,11.060547
103,5.194879,11.060547
104,4.989283,11.060547
105,4.971715,11.060547
106,4.918503,11.060547
107,5.133061,11.060547
108,4.880466,11.060547
109,5.155178,11.060547
110,4.882528,11.060547
111,5.311725,11.060547
112,5.374458,11.060547
113,5.197065,11.060547
114,5.189371,11.060547
115,4.950977,11.060547
116,5.374810,11.060547
117,5.014172,11.060547
118,4.771966,11.060547
119,4.961598,11.060547
120,4.964556,11.060547
121,4.982966,11.060547
122,5.102497,11.060547
123,4.822639,11.060547
124,5.393218,11.060547
125,4.998089,11.060547
126,2.994143,11.060547
127,5.169920,11.060547
128,4.978591,11.060547
129,5.194767,11.060547
130,5.393994,11.060547
131,5.308495,11.060547
132,5.082107,11.060547
133,5.100266,11.060547
134,5.126724,11.060547
135,5.378013,11.060547
136,5.432496,11.060547
137,4.955800,11.060547
138,5.345997,11.060547
139,5.125003,11.060547
140,4.964902,11.060547
141,5.267816,11.060547
142,4.947462,11.060547
143,4.984797,11.060547
144,5.042789,11.060547
145,5.162440,11.060547
146,5.105350,11.060547
147,4.892124,11.060547
148,5.330312,11.060547
149,4.966172,11.060547
150,5.140795,11.060547
151,4.830322,11.060547
152,5.242534,11.060547
153,5.224252,11.060547
154,5.183952,11.060547
155,5.078454,11.060547
156,5.223497,11.060547
157,5.115503,11.060547
158,4.810686,11.060547
159,4.849782,11.060547
160,4.959385,11.060547
161,5.045193,11.060547
162,4.944916,11.060547
163,5.358144,11.060547
164,5.017245,11.060547
165,5.020868,11.060547
166,5.014743,11.060547
167,5.010040,11.060547
168,5.125021,11.060547
169,5.220657,11.060547
170,4.984493,11.060547
171,4.829908,11.060547
172,5.354461,11.060547
173,4.747336,11.060547
174,4.925551,11.060547
175,5.194894,11.060547
176,5.083146,11.060547
177,5.113091,11.060547
178,4.988419,11.060547
179,5.404918,11.060547
180,4.966269,11.060547
181,5.200099,11.060547
182,5.184592,11.060547
183,4.961823,11.060547
184,5.189044,11.060547
185,5.124799,11.060547
186,5.151539,11.060547
187,5.179907,11.060547
188,4.828826,11.060547
189,2.935156,11.060547
190,5.112533,11.060547
191,4.983484,11.060547
192,5.103008,11.060547
193,5.136791,11.060547
194,4.825530,11.060547
195,5.187535,11.060547
196,4.899888,11.060547
197,5.381455,11.060547
198,5.215858,11.060547
199,4.894974,11.060547
200,5.045500,11.060547
201,4.760731,11.060547
202,5.312400,11.060547
203,5.372135,11.060547
204,5.367302,11.060547
205,5.428389,11.060547
206,4.957494,11.060547
207,4.977516,11.060547
208,4.915854,11.060547
209,5.039379,11.060547
210,5.188627,11.060547
211,5.267054,11.060547
212,4.983060,11.060547
213,5.334636,11.060547
214,5.374887,11.060547
215,5.192509,11.060547
216,5.118047,11.060547
217,4.957409,11.060547
218,4.980341,11.060547
219,5.134852,11.060547
220,5.196490,11.060547
221,4.970493,11.060547
222,4.887465,11.060547
223,5.038507,11.060547
224,4.942391,11.060547
225,5.083206,11.060547
226,5.194205,11.060547
227,5.008298,11.060547
228,5.096589,11.060547
229,5.118903,11.060547
230,5.196211,11.060547
231,4.910238,11.060547
232,5.113002,11.060547
233,4.890209,11.060547
234,4.963661,11.060547
235,5.018660,11.060547
236,5.110383,11.060547
237,5.339253,11.060547
238,4.930612,11.060547
239,5.155559,11.060547
240,4.932616,11.060547
241,5.029959,11.060547
242,5.199372,11.060547
243,5.115214,11.060547
244,4.957988,11.060547
245,4.930424,11.060547
246,5.080469,11.060547
247,5.342989,11.060547
248,5.019215,11.060547
249,4.922338,11.060547
250,5.183423,11.060547
