step,gpu_mem_gb,gpu_mem_reserved_gb
1,4.056086,5.416016
2,3.834891,5.427734
3,3.625474,5.427734
4,3.684132,5.427734
5,3.826108,5.427734
6,3.794918,5.429688
7,3.785063,5.429688
8,3.608192,5.429688
9,3.952546,5.429688
10,3.983107,5.431641
11,3.873947,5.431641
12,3.836030,5.431641
13,3.737211,5.431641
14,3.825775,5.431641
15,3.971240,5.431641
16,3.632471,5.431641
17,3.884150,5.431641
18,3.892206,5.431641
19,3.882004,5.431641
20,3.851488,5.431641
21,3.650547,5.431641
22,3.686941,5.431641
23,3.670879,5.431641
24,3.844087,5.431641
25,3.851488,5.431641
26,4.023240,5.431641
27,3.834420,5.431641
28,3.960712,5.431641
29,4.108539,7.121094
30,3.834420,7.121094
31,3.863433,7.121094
32,3.775132,7.121094
33,3.642431,7.121094
34,3.826364,7.121094
35,4.041234,7.121094
36,3.755210,7.121094
37,3.641718,7.121094
38,3.863205,7.121094
39,3.755210,7.121094
40,3.870189,7.121094
41,3.873947,7.121094
42,3.834420,7.121094
43,4.011028,7.121094
44,3.767075,7.121094
45,3.834075,7.121094
46,4.023240,7.121094
47,3.981225,7.121094
48,3.851488,7.121094
49,3.775132,7.121094
50,3.728508,7.121094
51,3.852593,7.121094
52,4.021685,7.121094
53,4.023240,7.121094
54,4.064143,7.121094
55,3.640859,7.121094
56,3.884188,7.121094
57,3.747154,7.121094
58,3.737211,7.121094
59,3.901685,7.121094
60,3.696290,7.121094
61,3.922092,7.121094
62,3.757085,7.121094
63,3.834420,7.121094
64,3.834420,7.121094
65,3.884150,7.121094
66,3.871490,7.121094
67,3.747154,7.121094
68,3.676075,7.121094
69,3.757170,7.121094
70,3.843450,7.121094
71,3.786950,7.121094
72,3.834087,7.121094
73,3.817694,7.121094
74,3.971240,7.121094
75,3.650547,7.121094
76,4.030776,7.121094
77,4.013301,7.121094
78,3.851488,7.121094
79,3.851488,7.121094
80,3.785063,7.121094
81,3.660844,7.121094
82,3.786950,7.121094
83,3.826108,7.121094
84,3.670875,7.121094
85,3.892505,7.121094
