step,gpu_mem_gb,gpu_mem_reserved_gb
1,4.800918,6.904297
2,4.645331,6.914062
3,4.666564,6.917969
4,4.658416,6.917969
5,4.702342,6.917969
6,4.883477,9.019531
7,4.676908,9.019531
8,4.969385,11.169922
9,4.668852,11.169922
10,4.708207,11.169922
11,4.929419,11.169922
12,4.854984,11.169922
13,4.787993,11.169922
14,4.668852,11.169922
15,4.779284,11.169922
16,5.062916,13.361328
17,4.847259,13.361328
18,4.588094,13.361328
19,4.806977,13.361328
20,4.846927,13.361328
21,4.970157,13.361328
22,4.779937,13.361328
23,4.668852,13.361328
24,4.588094,13.361328
25,4.875206,13.361328
26,5.072079,13.365234
27,4.846927,13.365234
28,4.630254,13.365234
29,4.700675,13.365234
30,4.817031,13.365234
31,4.779937,13.365234
32,4.659355,13.365234
33,4.709695,13.365234
34,4.666702,13.365234
35,4.770439,13.365234
36,4.622094,13.531250
37,4.596151,13.531250
38,4.623101,13.531250
39,4.807803,13.531250
40,4.846927,13.531250
41,4.808974,13.531250
42,4.804917,13.531250
43,4.787833,13.531250
44,4.658064,13.531250
45,4.641547,13.531250
46,4.929419,13.531250
47,4.961417,13.531250
48,4.566096,13.531250
49,4.854984,13.531250
50,4.676908,13.531250
51,5.071853,13.531250
52,4.806977,13.531250
53,4.712864,13.531250
54,4.770439,13.531250
55,4.665769,13.531250
56,4.779937,13.531250
57,4.706373,13.531250
58,4.588094,13.531250
59,4.806977,13.531250
60,4.929419,13.531250
61,4.969473,13.531250
62,4.846927,13.531250
63,4.654181,13.531250
64,4.720921,13.531250
65,4.779937,13.531250
66,4.875420,13.531250
67,4.619097,13.531250
68,5.072079,13.531250
69,4.630151,13.531250
70,4.816526,13.531250
71,4.846927,13.531250
72,4.633343,13.533203
73,4.854984,13.533203
74,4.817256,13.533203
75,4.630151,13.533203
76,4.798921,13.533203
77,4.816526,13.533203
78,4.668852,13.533203
79,4.961417,13.533203
80,4.666121,13.533203
81,4.875420,13.533203
82,4.652556,13.533203
83,5.072079,13.533203
84,4.658064,13.533203
85,4.846927,13.533203
86,4.507542,13.533203
87,4.787993,13.533203
88,4.787993,13.533203
89,4.929419,13.533203
90,4.543137,13.533203
91,4.779937,13.533203
92,4.969473,13.533203
93,4.846927,13.533203
94,4.778496,13.533203
95,4.611744,13.533203
96,4.665769,13.533203
97,4.646154,13.533203
98,4.854821,13.533203
99,4.630151,13.533203
100,4.875420,13.533203
101,4.937041,13.533203
102,4.641336,13.533203
103,4.806977,13.533203
104,4.677792,13.533203
105,4.788229,13.533203
106,4.817031,13.533203
107,5.064022,13.533203
108,4.701638,13.533203
109,5.064022,13.533203
110,4.658651,13.533203
111,4.576937,13.533203
112,4.854984,13.533203
113,4.709695,13.533203
114,4.698389,13.533203
115,4.806977,13.533203
116,4.846927,13.533203
117,4.929419,13.533203
118,4.875832,13.533203
119,4.668852,13.533203
120,4.779937,13.533203
121,4.961138,13.533203
122,4.588358,13.533203
123,4.817031,13.533203
124,4.665769,13.533203
125,4.787993,13.533203
126,4.448062,13.533203
127,4.779937,13.533203
128,4.937476,13.533203
129,4.846927,13.533203
130,4.806977,13.533203
131,4.611040,13.533203
132,4.657712,13.533203
133,4.961138,13.533203
134,4.588094,13.533203
135,4.573848,13.533203
136,5.063725,13.533203
137,4.806977,13.533203
138,4.787993,13.533203
139,4.630254,13.533203
140,4.875832,13.533203
141,4.809199,13.533203
142,4.665769,13.533203
143,4.808389,13.533203
144,4.846927,13.533203
145,4.630151,13.533203
146,4.652534,13.533203
147,4.787993,13.533203
148,4.929419,13.533203
149,4.665769,13.533203
150,4.712474,13.533203
151,4.817031,13.533203
152,5.064022,13.533203
153,4.855316,13.533203
154,4.806552,13.533203
155,4.883477,13.533203
156,4.709695,13.533203
157,4.646276,13.533203
158,4.657712,13.533203
159,4.599240,13.533203
160,4.798921,13.533203
161,4.588094,13.533203
162,4.700675,13.533203
163,4.487050,13.533203
164,4.708732,13.533203
165,4.652556,13.533203
166,4.929419,13.533203
167,4.798921,13.533203
168,4.775664,13.533203
169,4.630151,13.533203
170,4.969473,13.533203
171,4.608082,13.533203
172,4.784994,13.533203
173,4.875420,13.533203
174,4.798430,13.533203
175,4.808974,13.533203
176,4.669611,13.533203
177,4.779162,13.533203
178,5.062916,13.533203
179,4.846927,13.533203
180,4.509955,13.535156
181,4.633343,13.535156
182,4.596151,13.535156
183,4.701398,13.535156
184,4.875420,13.535156
185,4.669340,13.535156
186,5.064022,13.535156
187,4.720921,13.535156
188,4.652556,13.535156
189,4.817031,13.535156
190,4.798921,13.535156
191,4.855316,13.535156
192,4.778496,13.535156
193,4.969473,13.535156
194,4.668852,13.535156
195,4.510930,13.535156
196,4.665769,13.535156
197,4.817031,13.535156
198,4.846927,13.535156
199,4.554283,13.535156
200,4.668852,13.535156
201,4.622197,13.535156
202,4.961417,13.535156
203,4.665769,13.535156
204,4.798166,13.535156
205,4.929069,13.535156
206,4.652556,13.535156
207,4.668852,13.535156
208,4.712734,13.535156
209,4.854984,13.535156
210,4.788138,13.535156
211,4.676908,13.535156
212,5.072079,13.535156
213,4.875420,13.535156
214,4.787993,13.535156
