step,gpu_mem_gb,gpu_mem_reserved_gb
1,6.020651,8.343750
2,5.964002,8.369141
3,6.107152,9.583984
4,6.196438,10.839844
5,6.003083,10.839844
6,6.046359,10.839844
7,6.097933,10.839844
8,6.243360,12.099609
9,6.024947,12.099609
10,5.816081,12.099609
11,6.031850,12.099609
12,5.910605,12.099609
13,5.980237,12.099609
14,5.930009,12.099609
15,5.893762,12.099609
16,5.972413,12.099609
17,5.946244,12.099609
18,6.123457,12.099609
19,5.971478,12.099609
20,5.966397,12.099609
21,5.867036,12.099609
22,6.036890,12.099609
23,6.167601,12.099609
24,6.019319,12.099609
25,5.971478,12.099609
26,6.185540,12.099609
27,6.015615,12.099609
28,6.002102,12.099609
29,5.980237,12.099609
30,5.954722,12.099609
31,6.031850,12.099609
32,5.988648,12.099609
33,5.899381,12.099609
34,5.967280,12.099609
35,6.002102,12.099609
36,6.071735,12.099609
37,6.024947,12.099609
38,6.179567,12.099609
39,6.071732,12.099609
40,5.957418,12.099609
41,5.968215,12.099609
42,6.080166,12.099609
43,6.133510,12.099609
44,5.980750,12.099609
45,6.126836,12.099609
46,6.071798,12.099609
47,6.046031,12.099609
48,5.992861,12.099609
49,5.955243,12.099609
50,5.808197,12.099609
51,5.964002,12.099609
52,6.070913,12.099609
53,5.984450,12.099609
54,6.031850,12.099609
55,5.996488,12.099609
56,5.893762,12.099609
57,5.946244,12.099609
58,6.031850,12.099609
59,6.281024,13.382812
60,5.980237,13.382812
61,5.980237,13.382812
62,6.142099,13.382812
63,5.988648,13.382812
64,5.871921,13.382812
65,5.951045,13.382812
66,6.053122,13.382812
67,5.888752,13.382812
68,6.264984,13.382812
69,6.024947,13.382812
70,6.007730,13.382812
71,5.971478,13.382812
72,6.071247,13.382812
73,6.097933,13.382812
74,5.965510,13.382812
75,5.776077,13.382812
76,5.888156,13.382812
77,5.910605,13.382812
78,5.980237,13.382812
79,5.888156,13.382812
80,6.070913,13.382812
81,6.090917,13.382812
82,5.996488,13.382812
83,5.987447,13.382812
84,5.904987,13.382812
85,6.123977,13.382812
86,6.002269,13.382812
87,6.185540,13.382812
88,6.167601,13.382812
89,5.971478,13.382812
90,5.893762,13.382812
91,5.792312,13.382812
92,5.958869,13.382812
93,6.002102,13.382812
94,6.142657,13.382812
95,6.019319,13.382812
96,6.029796,13.382812
97,5.958869,13.382812
98,6.002102,13.382812
99,6.031850,13.382812
100,5.984450,13.382812
101,6.054678,13.382812
102,6.071351,13.382812
103,5.951045,13.382812
104,5.980237,13.382812
105,5.947723,13.382812
106,6.019319,13.382812
107,5.904987,13.382812
108,6.031850,13.382812
109,5.910605,13.382812
110,6.116797,13.382812
111,6.142820,13.382812
112,6.070913,13.382812
113,6.064770,13.382812
114,5.958869,13.382812
115,6.195803,13.382812
116,5.980252,13.382812
117,5.799773,13.382812
118,5.959823,13.382812
119,5.965510,13.382812
120,5.967280,13.382812
121,6.019319,13.382812
122,5.888156,13.382812
123,6.243510,13.382812
124,5.950444,13.382812
125,6.070913,13.382812
126,5.967280,13.382812
127,6.053122,13.382812
128,6.227361,13.382812
129,6.116797,13.382812
130,5.967280,13.382812
131,6.014399,13.382812
132,6.016558,13.382812
133,6.195803,13.382812
134,6.280746,13.382812
135,5.958869,13.382812
136,6.167601,13.382812
137,6.015615,13.382812
138,5.967280,13.382812
139,6.107222,13.382812
140,5.958869,13.382812
141,5.971478,13.382812
142,5.954656,13.382812
143,6.029796,13.382812
144,5.996488,13.382812
145,5.900354,13.382812
146,6.142099,13.382812
147,5.955243,13.382812
148,6.015615,13.382812
149,5.871921,13.382812
150,6.070913,13.382812
151,6.002102,13.382812
152,6.054753,13.382812
153,5.958869,13.382812
