step,gpu_mem_gb,gpu_mem_reserved_gb
1,2.708535,2.828125
2,2.506221,3.166016
3,2.333511,3.166016
4,2.417451,3.167969
5,2.505733,3.179688
6,2.493780,3.179688
7,2.477084,3.179688
8,2.333511,3.179688
9,2.651095,3.179688
10,2.661903,3.191406
11,2.545015,3.191406
12,2.503353,3.191406
13,2.462626,3.191406
14,2.494818,3.191406
15,2.657400,3.191406
16,2.348575,3.191406
17,2.555563,3.191406
18,2.587171,3.191406
19,2.580584,3.191406
20,2.521914,3.191406
21,2.356329,3.191406
22,2.409659,3.191406
23,2.373387,3.191406
24,2.505733,3.191406
25,2.521914,3.191406
26,2.702206,3.191406
27,2.485237,3.191406
28,2.651095,3.191406
29,2.778542,4.220703
30,2.506221,4.220703
31,2.572100,4.220703
32,2.476584,4.220703
33,2.357020,4.220703
34,2.520350,4.220703
35,2.694664,4.220703
36,2.462626,4.220703
37,2.365127,4.220703
38,2.555563,4.220703
39,2.424408,4.220703
40,2.540393,4.220703
41,2.555563,4.220703
42,2.492651,4.220703
43,2.679797,4.220703
44,2.471465,4.220703
45,2.495062,4.220703
46,2.692612,4.220703
47,2.657400,4.220703
48,2.663029,4.220703
49,2.471328,4.220703
50,2.424195,4.220703
51,2.526035,4.220703
52,2.681140,4.220703
53,2.698676,4.220703
54,2.698676,4.220703
55,2.357020,4.220703
56,2.555563,4.220703
57,2.438643,4.220703
58,2.430422,4.220703
59,2.641120,4.220703
60,2.424927,4.220703
61,2.576704,4.220703
62,2.469935,4.220703
63,1.387802,4.390625
64,2.495062,4.390625
65,2.520297,4.390625
66,2.555563,4.390625
67,2.571759,4.390625
68,2.438643,4.390625
69,2.409659,4.390625
70,2.462626,4.390625
71,2.515265,4.390625
72,2.484218,4.390625
73,2.485237,4.390625
74,2.494665,4.390625
75,2.657270,4.390625
76,2.364564,4.390625
77,2.698676,4.390625
78,2.679797,4.390625
79,2.663029,4.390625
80,2.518977,4.390625
81,2.484628,4.390625
82,2.363997,4.390625
83,2.484628,4.390625
84,2.503936,4.390625
85,2.363430,4.390625
86,2.576704,4.390625
87,2.341060,4.390625
88,2.566169,4.390625
89,2.424195,4.390625
90,2.373387,4.390625
91,2.429868,4.390625
92,2.572429,4.390625
93,2.587545,4.390625
94,2.409659,4.390625
95,2.657400,4.390625
96,2.571549,4.390625
97,2.495062,4.390625
98,2.702324,4.390625
99,2.651830,4.390625
100,2.721905,4.390625
101,2.555563,4.390625
102,2.462390,4.390625
103,2.424195,4.390625
104,2.779770,4.390625
105,2.698676,4.390625
106,2.679797,4.390625
107,2.521914,4.390625
108,2.535774,4.390625
109,2.333511,4.390625
110,2.364550,4.390625
111,2.409659,4.390625
112,2.476585,4.390625
113,2.692843,4.390625
114,2.640632,4.390625
115,2.468692,4.390625
116,2.469935,4.390625
117,2.527634,4.390625
118,2.571568,4.390625
119,2.692099,4.390625
120,2.494574,4.390625
121,2.505733,4.390625
122,2.576704,4.390625
123,2.427208,4.390625
124,2.417451,4.390625
125,2.545685,4.390625
126,1.372930,4.390625
127,2.484628,4.390625
128,2.356589,4.390625
129,2.540393,4.390625
130,2.699879,4.390625
131,2.477318,4.390625
132,2.495062,4.390625
133,2.485995,4.390625
134,2.431530,4.390625
135,2.555563,4.390625
136,2.478257,4.390625
137,2.371895,4.390625
138,2.521914,4.390625
139,2.482953,4.390625
140,2.695178,4.390625
141,2.651830,4.390625
142,2.587324,4.390625
143,2.469935,4.390625
144,2.424439,4.390625
145,2.477318,4.390625
146,2.503749,4.390625
147,2.418764,4.390625
148,2.438643,4.390625
149,2.427559,4.390625
150,2.484628,4.390625
151,2.566169,4.390625
152,2.482516,4.390625
153,2.651830,4.390625
154,2.424897,4.390625
155,2.679797,4.390625
156,2.519793,4.390625
157,2.657400,4.390625
158,2.548367,4.390625
159,2.663029,4.390625
160,2.538486,4.390625
161,2.698676,4.390625
162,2.339839,4.390625
163,2.692587,4.390625
164,2.521914,4.390625
165,2.658284,4.390625
166,2.357020,4.390625
167,2.424195,4.390625
168,2.485237,4.390625
169,2.424195,4.390625
170,2.417451,4.390625
171,2.520350,4.390625
172,2.440022,4.390625
173,2.679797,4.390625
174,2.494421,4.390625
