step,gpu_mem_gb,gpu_mem_reserved_gb
1,3.465920,3.535156
2,3.364109,4.011719
3,3.364109,4.011719
4,3.406124,4.011719
5,3.406999,4.011719
6,3.546204,5.347656
7,3.379097,5.347656
8,3.653908,6.732422
9,3.371493,6.732422
10,3.415693,6.732422
11,3.582353,6.744141
12,3.518072,6.744141
13,3.475098,6.744141
14,3.371493,6.744141
15,3.422798,6.744141
16,3.697690,8.138672
17,3.503903,8.138672
18,2.690911,8.138672
19,3.482573,8.138672
20,3.503903,8.138672
21,3.653273,8.140625
22,3.422798,8.140625
23,3.379611,8.140625
24,3.299034,8.140625
25,3.546204,8.140625
26,3.697690,8.140625
27,3.518072,8.140625
28,3.356668,8.140625
29,3.415661,8.140625
30,3.478806,8.140625
31,3.475098,8.140625
32,3.371493,8.140625
33,3.406999,8.140625
34,3.407245,8.140625
35,3.430375,8.140625
36,2.650565,8.144531
37,3.320552,8.144531
38,3.325792,8.144531
39,3.479653,8.148438
40,3.503903,8.148438
41,3.482882,8.148438
42,3.474366,8.148438
43,3.475098,8.148438
44,3.371493,8.148438
45,3.349283,8.148438
46,3.581745,8.148438
47,3.653273,8.148438
48,3.286272,8.148438
49,3.518089,8.148438
50,3.371493,8.148438
51,3.697622,8.148438
52,3.482573,8.148438
53,3.415279,8.148438
54,2.663877,8.148438
55,3.364109,8.148438
56,3.430375,8.148438
57,3.406999,8.150391
58,3.299034,8.150391
59,3.482573,8.150391
60,3.582353,8.150391
61,3.653273,8.150391
62,3.518072,8.150391
63,3.364109,8.150391
64,3.414378,8.150391
65,3.475098,8.150391
66,3.546603,8.150391
67,3.320552,8.150391
68,3.697205,8.150391
69,3.356668,8.150391
70,3.477959,8.150391
71,3.503903,8.150391
72,2.588252,8.150391
73,3.518072,8.150391
74,3.482573,8.150391
75,3.406999,8.150391
76,3.482573,8.150391
77,3.479653,8.154297
78,3.379097,8.154297
79,3.653273,8.154297
80,3.364109,8.154297
81,3.545814,8.154297
82,3.364109,8.154297
83,3.697205,8.154297
84,3.364109,8.154297
85,3.503839,8.154297
86,3.234847,8.154297
87,3.473487,8.154297
88,3.422798,8.154297
89,3.582695,8.154297
90,2.669102,8.154297
91,3.422798,8.154297
92,3.653273,8.154297
93,3.503903,8.158203
94,3.430375,8.158203
95,3.321766,8.158203
96,3.371493,8.158203
97,3.364755,8.158203
98,3.518072,8.158203
99,3.356668,8.158203
100,3.546533,8.158203
101,3.583217,8.158203
102,3.406999,8.158203
103,3.482573,8.158203
104,3.371493,8.158203
105,3.473473,8.158203
106,3.479653,8.158203
107,3.697690,8.158203
108,2.650565,8.158203
109,3.697690,8.158203
110,3.406999,8.158203
111,3.315879,8.158203
112,3.503903,8.158203
113,3.416011,8.158203
114,3.406999,8.158203
115,3.482573,8.158203
116,3.518072,8.158203
117,3.582353,8.158203
118,3.546603,8.158203
119,3.379097,8.158203
120,3.422798,8.158203
121,3.653273,8.158203
122,3.299034,8.158203
123,3.478837,8.158203
124,3.371493,8.158203
125,3.473473,8.158203
126,2.428805,8.158203
127,3.474366,8.158203
128,3.582353,8.158203
129,3.503903,8.158203
130,3.482573,8.158203
131,3.320552,8.158203
132,3.372531,8.158203
133,3.652178,8.158203
134,3.299034,8.158203
135,3.294713,8.158203
136,3.697690,8.158203
137,3.475098,8.158203
138,3.422798,8.158203
139,3.406999,8.158203
140,3.546204,8.158203
141,3.482573,8.158203
142,3.364109,8.158203
143,3.478737,8.158203
144,2.717386,8.158203
145,3.356668,8.158203
146,3.363934,8.158203
147,3.422798,8.158203
148,3.582695,8.158203
149,3.406999,8.158203
150,3.415511,8.158203
151,3.479653,8.158203
152,3.697690,8.158203
153,3.518072,8.158203
154,3.482573,8.158203
155,3.546603,8.158203
156,3.415279,8.158203
157,3.364755,8.158203
158,3.372226,8.158203
159,3.320552,8.158203
160,3.482573,8.158203
161,3.299034,8.158203
162,2.608651,8.158203
163,3.217672,8.158203
164,3.415279,8.158203
165,3.364755,8.158203
166,3.582353,8.158203
167,3.482573,8.158203
168,3.430375,8.158203
169,3.349283,8.158203
170,3.653273,8.158203
171,3.320552,8.158203
172,3.473403,8.158203
173,3.546603,8.158203
174,3.475098,8.158203
175,3.479653,8.158203
176,3.379097,8.158203
177,3.422393,8.158203
178,3.697690,8.158203
179,3.503903,8.158203
180,2.542561,8.158203
181,3.349283,8.158203
182,3.299926,8.158203
183,3.415279,8.158203
184,3.546603,8.158203
185,3.372226,8.158203
186,3.697690,8.158203
187,3.415279,8.158203
188,3.364755,8.158203
189,3.482573,8.158203
190,3.474366,8.158203
191,3.518072,8.158203
192,3.430375,8.158203
193,3.655237,8.158203
194,3.371493,8.158203
195,3.252182,8.158203
196,3.364109,8.158203
197,3.477723,8.158203
198,2.706921,8.158203
199,3.280710,8.158203
200,3.371493,8.158203
201,3.358436,8.158203
202,3.653273,8.158203
203,3.364109,8.158203
204,3.472398,8.158203
205,3.582353,8.158203
206,3.364109,8.158203
207,3.372317,8.158203
208,3.415279,8.158203
209,3.518072,8.158203
210,3.422798,8.158203
211,3.379611,8.158203
212,3.697690,8.158203
213,3.546603,8.158203
214,3.475098,8.158203
215,3.415279,8.158203
216,2.588252,8.158203
217,3.482573,8.158203
218,3.349283,8.158203
219,3.414829,8.158203
220,3.407447,8.158203
221,3.430375,8.158203
222,3.371493,8.158203
223,3.546603,8.158203
224,3.299034,8.158203
