step,gpu_mem_gb,gpu_mem_reserved_gb
1,3.919019,4.029297
2,3.741346,4.564453
3,3.932752,4.566406
4,4.096071,6.125000
5,3.884496,6.125000
6,3.909375,6.125000
7,3.992099,6.125000
8,4.117396,7.689453
9,3.876171,7.689453
10,3.646093,7.689453
11,3.924360,7.689453
12,3.689520,7.689453
13,3.779888,7.689453
14,3.719735,7.689453
15,3.636281,7.689453
16,3.805214,7.689453
17,3.711997,7.689453
18,4.039445,7.689453
19,3.809278,7.689453
20,3.749937,7.689453
21,3.643153,7.689453
22,3.933944,7.689453
23,4.075874,7.689453
24,3.857792,7.689453
25,3.790060,7.689453
26,4.075874,7.689453
27,3.889011,7.689453
28,3.840285,7.689453
29,3.779888,7.689453
30,3.756112,7.689453
31,3.992099,7.689453
32,3.852409,7.689453
33,3.636510,7.689453
34,3.727106,7.689453
35,3.864335,7.691406
36,3.998852,7.691406
37,3.876556,7.691406
38,4.095837,7.691406
39,3.950259,7.691406
40,3.720040,7.691406
41,3.884929,7.691406
42,3.933687,7.691406
43,4.059065,7.691406
44,3.748194,7.691406
45,4.083741,7.691406
46,3.937911,7.691406
47,3.894163,7.691406
48,3.797652,7.691406
49,3.735752,7.691406
50,3.573775,7.691406
51,3.783626,7.691406
52,3.924925,7.693359
53,3.797652,7.693359
54,3.879402,7.693359
55,3.779888,7.693359
56,3.658721,7.693359
57,3.704783,7.693359
58,3.879402,7.693359
59,4.129479,9.275391
60,3.810267,9.275391
61,3.748438,9.275391
62,4.070252,9.275391
63,2.144560,9.275391
64,3.790060,9.275391
65,3.654883,9.275391
66,3.727106,9.275391
67,3.934694,9.275391
68,3.657277,9.275391
69,4.129388,9.275391
70,3.871729,9.275391
71,3.848622,9.275391
72,3.734198,9.275391
73,3.924822,9.275391
74,3.992099,9.275391
75,3.721242,9.275391
76,3.564497,9.275391
77,3.643001,9.275391
78,3.657277,9.275391
79,3.798587,9.275391
80,3.648900,9.275391
81,3.997904,9.275391
82,3.932289,9.275391
83,3.862158,9.275391
84,3.805214,9.275391
85,3.658932,9.275391
86,4.036303,9.275391
87,3.973623,9.275391
88,4.092953,9.275391
89,4.060341,9.275391
90,3.740053,9.275391
91,3.724005,9.275391
92,3.553089,9.275391
93,3.720040,9.275391
94,3.805039,9.275391
95,4.070252,9.275391
96,3.864791,9.275391
97,3.908983,9.275391
98,3.711979,9.275391
99,3.840473,9.275391
100,3.924360,9.275391
101,3.797652,9.275391
102,3.924360,9.275391
103,3.932508,9.275391
104,3.748438,9.275391
105,3.771796,9.275391
106,3.704783,9.275391
107,3.886601,9.277344
108,3.643162,9.277344
109,3.878052,9.277344
110,3.650110,9.277344
111,4.058558,9.277344
112,4.098546,9.277344
113,3.946426,9.277344
114,3.932508,9.277344
115,3.720040,9.277344
116,4.097089,9.277344
117,3.784852,9.277344
118,3.583086,9.277344
119,3.720040,9.277344
120,3.727142,9.277344
121,3.771769,9.277344
122,3.854607,9.277344
123,3.663437,9.277344
124,4.104328,9.277344
125,3.752542,9.277344
126,2.070301,9.277344
127,3.932508,9.277344
128,3.741346,9.277344
129,3.933706,9.277344
130,4.104328,9.277344
131,4.048746,9.277344
132,3.807726,9.277344
133,3.849269,9.277344
134,3.877320,9.277344
135,4.095837,9.277344
136,4.163152,9.277344
137,3.727951,9.277344
138,4.077901,9.277344
139,3.873199,9.277344
140,3.727454,9.277344
141,4.036303,9.277344
142,3.740763,9.277344
143,3.777433,9.277344
144,3.798472,9.277344
145,3.894163,9.277344
146,3.862574,9.277344
147,3.650110,9.277344
148,4.071727,9.277344
149,3.743850,9.277344
150,3.886601,9.277344
151,3.629016,9.277344
152,3.997904,9.277344
153,3.971322,9.277344
154,3.922796,9.277344
155,3.841059,9.277344
156,3.992099,9.277344
157,3.875882,9.277344
158,3.646093,9.277344
159,3.628827,9.277344
160,3.720040,9.277344
161,3.798587,9.277344
162,3.720773,9.277344
163,4.082688,9.277344
164,3.786126,9.277344
165,3.782691,9.277344
166,3.782687,9.277344
167,3.779888,9.277344
168,3.878771,9.279297
169,3.924360,9.279297
170,3.741346,9.279297
171,3.648530,9.279297
172,4.077403,9.279297
173,3.569245,9.279297
174,3.690123,9.279297
175,3.934440,9.279297
176,3.848620,9.279297
177,3.863801,9.279297
178,3.748438,9.279297
179,4.096900,9.279297
180,3.729911,9.279297
181,3.933742,9.279297
182,3.908206,9.279297
183,3.735250,9.279297
184,3.932752,9.279297
185,3.884929,9.279297
186,3.877320,9.279297
187,3.933939,9.279297
188,3.628827,9.279297
189,2.015507,9.279297
190,3.877320,9.279297
191,3.741346,9.283203
192,3.854607,9.283203
193,3.886601,9.283203
194,3.643153,9.283203
195,3.933931,9.283203
196,3.657277,9.283203
197,4.104328,9.283203
198,3.995298,9.283203
199,3.666172,9.283203
200,3.798501,9.283203
201,3.584110,9.283203
202,4.059811,9.283203
203,4.114881,9.283203
204,4.079691,9.283203
205,4.164226,9.283203
206,3.713222,9.283203
207,3.741531,9.283203
