step,gpu_mem_gb,gpu_mem_reserved_gb
1,4.678638,6.013672
2,4.398480,6.023438
3,4.150676,6.023438
4,4.220578,6.023438
5,4.388243,6.023438
6,4.375146,6.025391
7,4.364717,6.025391
8,4.131998,6.025391
9,4.557242,6.027344
10,4.593592,6.029297
11,4.449738,6.029297
12,4.398047,6.029297
13,4.297746,6.029297
14,4.386339,6.029297
15,4.577816,6.029297
16,4.159480,6.029297
17,4.463695,6.029297
18,4.471752,6.029297
19,4.458641,6.029297
20,4.416528,6.029297
21,4.177241,6.029297
22,4.224524,6.029297
23,4.201114,6.029297
24,4.406104,6.029297
25,4.416701,6.029297
26,4.640403,6.029297
27,4.394755,6.029297
28,4.565442,6.029297
29,4.743420,7.722656
30,4.396110,7.722656
31,4.436133,7.722656
32,4.354038,7.722656
33,4.168386,7.722656
34,4.388292,7.722656
35,4.660911,7.722656
36,4.317331,7.722656
37,4.168386,7.722656
38,4.436133,7.722656
39,4.316715,7.722656
40,4.444175,7.722656
41,4.449512,7.722656
42,4.396110,7.722656
43,4.625182,7.722656
44,4.347215,7.722656
45,4.394755,7.722656
46,4.641051,7.722656
47,4.590443,7.722656
48,4.416701,7.722656
49,4.355506,7.722656
50,4.286230,7.722656
51,4.416691,7.722656
52,4.636296,7.722656
53,4.640479,7.722656
54,4.688550,7.722656
55,4.167812,7.722656
56,4.464031,7.722656
57,4.308924,7.722656
58,4.296969,7.722656
59,4.476734,7.722656
60,4.233739,7.722656
61,4.504189,7.722656
62,4.336076,7.722656
63,4.396132,7.722656
64,4.396502,7.722656
65,4.463623,7.722656
66,4.444210,7.722656
67,4.308460,7.722656
68,4.211915,7.722656
69,4.337383,7.722656
70,4.406762,7.722656
71,4.367205,7.722656
72,4.396904,7.722656
73,4.378249,7.722656
74,4.577399,7.722656
75,4.177241,7.722656
76,4.648956,7.722656
77,4.628575,7.722656
78,4.416528,7.722656
79,4.417190,7.722656
80,4.364979,7.722656
81,4.190029,7.722656
82,4.367202,7.722656
83,4.388296,7.722656
84,4.201114,7.722656
85,4.472508,7.722656
86,4.150586,7.722656
87,4.458641,7.722656
88,4.233078,7.722656
89,4.188442,7.722656
90,4.305453,7.722656
91,4.444945,7.722656
92,4.505733,7.722656
93,4.219972,7.722656
94,4.569622,7.722656
95,4.450757,7.722656
96,4.367685,7.722656
97,4.640733,7.722656
98,4.565634,7.722656
99,4.693786,7.722656
100,4.436463,7.722656
101,4.334825,7.722656
102,4.317038,7.722656
103,4.735363,7.722656
104,4.696965,7.722656
105,4.625126,7.722656
106,4.409106,7.722656
107,4.423364,7.722656
108,4.141930,7.722656
109,4.159760,7.722656
110,4.233988,7.722656
111,4.366626,7.722656
112,4.649273,7.722656
113,4.485013,7.722656
114,4.336842,7.722656
115,4.356143,7.722656
116,4.409133,7.722656
117,4.464451,7.722656
118,4.653118,7.722656
119,4.388105,7.722656
120,4.398169,7.722656
121,4.484653,7.722656
122,4.305467,7.722656
123,4.233891,7.722656
124,4.457795,7.722656
125,4.375258,7.722656
126,4.176682,7.722656
127,4.431146,7.722656
128,4.649098,7.722656
129,4.344801,7.722656
130,4.396502,7.722656
131,4.378249,7.722656
132,4.293859,7.722656
133,4.449777,7.722656
134,4.375385,7.722656
135,4.189556,7.722656
136,4.408635,7.722656
137,4.367364,7.722656
138,4.640278,7.722656
139,4.566290,7.722656
140,4.477496,7.722656
141,4.354928,7.722656
142,4.306374,7.722656
143,4.348086,7.722656
144,4.387908,7.722656
145,4.224252,7.722656
146,4.309362,7.722656
147,4.285630,7.722656
148,4.375307,7.722656
149,4.457569,7.722656
150,4.367143,7.722656
151,4.565634,7.722656
152,4.286110,7.722656
153,4.616992,7.722656
154,4.406117,7.722656
155,4.569957,7.722656
156,4.457719,7.722656
157,4.416910,7.722656
158,4.436052,7.722656
159,4.640289,7.722656
160,4.158643,7.722656
161,4.652604,7.722656
162,4.417084,7.722656
163,4.593612,7.722656
164,4.176443,7.722656
165,4.305453,7.722656
166,4.363889,7.722656
167,4.240938,7.722656
168,4.233338,7.722656
169,4.396110,7.722656
170,4.317038,7.722656
171,4.628998,7.722656
172,4.378618,7.722656
173,4.569330,7.722656
174,4.386911,7.722656
175,4.388636,7.722656
176,4.168251,7.722656
177,4.581630,7.722656
178,4.696468,7.724609
179,4.231479,7.724609
180,4.375989,7.724609
181,4.735802,7.724609
182,4.504601,7.724609
183,4.286230,7.724609
184,4.686694,7.724609
185,4.356245,7.724609
186,4.375050,7.724609
187,4.345422,7.724609
188,4.406655,7.724609
189,4.430536,7.724609
190,4.640886,7.724609
191,4.356143,7.724609
192,4.505643,7.724609
193,4.636632,7.724609
194,4.305964,7.724609
195,4.348086,7.724609
196,4.485301,7.724609
197,4.695716,7.724609
198,4.744997,7.724609
199,4.336697,7.724609
200,4.286119,7.724609
201,4.355506,7.724609
202,4.471679,7.724609
