step,gpu_mem_gb,gpu_mem_reserved_gb
1,5.507505,7.595703
2,5.401021,7.605469
3,5.420021,7.617188
4,5.414448,7.617188
5,5.433611,7.617188
6,5.640079,9.718750
7,5.429790,9.718750
8,5.758650,11.869141
9,5.421263,11.869141
10,5.439379,11.869141
11,5.708092,11.869141
12,5.585505,11.869141
13,5.478648,11.869141
14,5.421263,11.869141
15,5.471371,11.869141
16,5.849182,14.072266
17,5.577317,14.072266
18,5.358398,14.072266
19,5.509111,14.072266
20,5.577599,14.072266
21,5.759075,14.072266
22,5.470568,14.072266
23,5.422440,14.072266
24,5.358838,14.072266
25,5.631099,14.072266
26,5.858977,14.072266
27,5.577101,14.072266
28,5.391997,14.072266
29,5.431220,14.072266
30,5.523618,14.072266
31,5.470568,14.072266
32,5.411964,14.072266
33,5.440964,14.072266
34,5.421211,14.072266
35,5.456255,14.072266
36,5.384603,14.189453
37,5.365224,14.189453
38,5.384577,14.189453
39,5.515687,14.189453
40,5.577317,14.189453
41,5.517196,14.189453
42,5.509111,14.189453
43,5.478648,14.189453
44,5.412570,14.189453
45,5.401135,14.189453
46,5.707829,14.189453
47,5.750403,14.189453
48,5.341388,14.189453
49,5.585513,14.189453
50,5.430497,14.189453
51,5.857238,14.189453
52,5.509111,14.189453
53,5.442180,14.189453
54,5.455827,14.191406
55,5.420573,14.191406
56,5.470943,14.191406
57,5.440964,14.191406
58,5.357703,14.191406
59,5.509111,14.191406
60,5.708833,14.191406
61,5.758515,14.191406
62,5.577520,14.191406
63,5.409414,14.191406
64,5.451419,14.191406
65,5.470500,14.191406
66,5.633174,14.191406
67,5.383283,14.191406
68,5.857238,14.191406
69,5.391980,14.191406
70,5.523618,14.191406
71,5.577101,14.191406
72,5.392308,14.193359
73,5.584979,14.193359
74,5.523618,14.193359
75,5.391980,14.193359
76,5.501054,14.193359
77,5.524387,14.193359
78,5.422505,14.193359
79,5.749957,14.193359
80,5.420969,14.193359
81,5.633174,14.193359
82,5.409414,14.193359
83,5.857568,14.193359
84,5.413008,14.193359
85,5.576879,14.193359
86,5.203025,14.193359
87,5.478556,14.193359
88,5.478725,14.193359
89,5.709007,14.193359
90,5.322950,14.193359
91,5.470278,14.193359
92,5.758014,14.193359
93,5.577520,14.193359
94,5.464291,14.193359
95,5.375930,14.193359
96,5.422505,14.193359
97,5.401357,14.193359
98,5.584935,14.193359
99,5.392634,14.193359
100,5.632947,14.193359
101,5.716148,14.193359
102,5.400690,14.193359
103,5.509481,14.193359
104,5.429114,14.193359
105,5.479824,14.193359
106,5.525253,14.193359
107,5.850023,14.193359
108,5.432908,14.193359
109,5.849182,14.193359
110,5.412108,14.193359
111,5.349863,14.193359
112,5.584935,14.193359
113,5.440964,14.193359
114,5.432908,14.193359
115,5.509111,14.193359
116,5.577599,14.193359
117,5.708092,14.193359
118,5.632811,14.193359
119,5.420758,14.193359
120,5.471371,14.193359
121,5.749568,14.193359
122,5.358486,14.193359
123,5.524387,14.193359
124,5.421449,14.193359
125,5.478648,14.193359
126,5.119647,14.193359
127,5.470734,14.193359
128,5.716148,14.193359
129,5.577101,14.193359
130,5.509111,14.193359
131,5.374891,14.193359
132,5.414448,14.193359
133,5.750768,14.193359
134,5.357167,14.193359
135,5.347807,14.193359
136,5.849991,14.193359
137,5.509111,14.193359
138,5.479241,14.193359
139,5.393494,14.193359
140,5.632947,14.193359
141,5.516168,14.193359
142,5.422505,14.193359
143,5.515562,14.193359
144,5.576879,14.193359
145,5.392634,14.193359
146,5.410077,14.193359
147,5.479153,14.193359
148,5.709007,14.193359
149,5.422505,14.193359
150,5.443363,14.193359
151,5.523618,14.193359
152,5.850023,14.193359
153,5.585374,14.193359
154,5.516330,14.193359
155,5.640079,14.193359
156,5.440964,14.193359
157,5.401357,14.193359
158,5.414448,14.193359
159,5.366543,14.193359
160,5.501054,14.193359
161,5.357179,14.193359
162,5.432908,14.193359
163,5.170559,14.193359
164,5.440964,14.193359
165,5.409452,14.193359
166,5.708681,14.193359
167,5.501054,14.193359
168,5.463884,14.193359
169,5.391980,14.193359
170,5.758896,14.193359
171,5.374842,14.193359
172,5.478648,14.193359
173,5.632035,14.193359
