step,gpu_mem_gb,gpu_mem_reserved_gb
1,6.035063,7.388672
2,5.948735,7.402344
3,6.137563,8.218750
4,6.295019,9.068359
5,6.008018,9.068359
6,6.057633,9.068359
7,6.125142,9.068359
8,6.316882,9.908203
9,6.031813,9.908203
10,5.755056,9.908203
11,6.039459,9.908203
12,5.816524,9.908203
13,5.965541,9.908203
14,5.821795,9.908203
15,5.782892,9.908203
16,5.961664,9.908203
17,5.837964,9.908203
18,6.172045,9.908203
19,5.954836,9.908203
20,5.880523,9.908203
21,5.755056,9.908203
22,6.051775,9.908203
23,6.272686,9.908203
24,6.025220,9.908203
25,5.949358,9.908203
26,6.287339,9.908203
27,6.024183,9.908203
28,6.002087,9.908203
29,5.964971,9.908203
30,5.860470,9.908203
31,6.039459,9.908203
32,5.978240,9.908203
33,5.796370,9.908203
34,5.891656,9.908203
35,6.000792,9.912109
36,6.091388,9.912109
37,6.031813,9.912109
38,6.279123,9.912109
39,6.092191,9.912109
40,5.869568,9.912109
41,5.955756,9.912109
42,6.103083,9.912109
43,6.184654,9.912109
44,5.965362,9.912109
45,6.178162,9.912109
46,6.091388,9.912109
47,6.057105,9.912109
48,5.986036,9.912109
49,5.884215,9.912109
50,5.750449,9.912109
51,5.948510,9.912109
52,6.091388,9.912109
53,5.971415,9.912109
54,6.039749,9.912109
55,5.993379,9.912109
56,5.782720,9.912109
57,5.837100,9.912109
58,6.039459,9.912109
59,6.353304,10.773438
60,5.964713,10.773438
61,5.964572,10.773438
62,6.194761,10.773438
63,5.977732,10.773438
64,5.758818,10.773438
65,5.874794,10.773438
66,6.068845,10.773438
67,5.791801,10.773438
68,6.337677,10.773438
69,6.032636,10.773438
70,6.008280,10.773438
71,5.900665,10.773438
72,6.091594,10.773438
73,6.125470,10.773438
74,5.880244,10.773438
75,5.722219,10.773438
76,5.775555,10.773438
77,5.819364,10.773438
78,5.971292,10.773438
79,5.774590,10.773438
80,6.091750,10.773438
81,6.121327,10.773438
82,5.993729,10.773438
83,5.977732,10.773438
84,5.807494,10.773438
85,6.172014,10.773438
86,6.000792,10.773438
87,6.287762,10.773438
88,6.273001,10.773438
89,5.900383,10.773438
90,5.784172,10.773438
91,5.739849,10.773438
92,5.868520,10.773438
93,6.002123,10.773438
94,6.195163,10.773438
95,6.024253,10.773438
96,6.040069,10.773438
97,5.867996,10.773438
98,6.001257,10.773438
99,6.039783,10.773438
100,5.971709,10.773438
101,6.075152,10.773438
102,6.091488,10.773438
103,5.874309,10.773438
104,5.965451,10.773438
105,5.848956,10.773438
106,6.024253,10.773438
107,5.807401,10.773438
108,6.040859,10.773438
109,5.817148,10.773438
110,6.167533,10.773438
111,6.195909,10.773438
112,6.091388,10.773438
113,6.086371,10.773438
114,5.868836,10.773438
115,6.295945,10.773438
116,5.977391,10.773438
117,5.745842,10.773438
118,5.869045,10.773438
119,5.879478,10.773438
120,5.890871,10.773438
121,6.024665,10.773438
122,5.775225,10.773438
123,6.317816,10.773438
124,5.852809,10.773438
125,6.092669,10.773438
126,5.890395,10.773438
127,6.067534,10.773438
128,6.301547,10.773438
129,6.167237,10.773438
130,5.949400,10.773438
131,6.018492,10.773438
132,6.023224,10.773438
133,6.294371,10.773438
134,6.353920,10.773438
135,5.869047,10.773438
136,6.272165,10.773438
137,6.023527,10.773438
138,5.891335,10.773438
139,6.156399,10.773438
140,5.869026,10.773438
141,5.900334,10.773438
142,5.860178,10.773438
143,6.040147,10.773438
144,5.994125,10.773438
145,5.795911,10.773438
146,6.194365,10.773438
147,5.884628,10.773438
148,6.023224,10.773438
149,5.758624,10.773438
150,6.091388,10.773438
151,6.000792,10.773438
152,6.075152,10.773438
153,5.869293,10.773438
154,6.125927,10.773438
155,6.040859,10.773438
156,5.768865,10.773438
157,5.775666,10.773438
158,5.842859,10.773438
159,5.986468,10.773438
160,5.849075,10.773438
161,6.194975,10.773438
162,5.948525,10.773438
163,5.965371,10.773438
164,5.964837,10.773438
165,5.993169,10.773438
166,6.016484,10.773438
167,6.091784,10.773438
168,5.965362,10.773438
169,5.767384,10.773438
170,6.287459,10.773438
171,5.740201,10.773438
172,5.827133,10.773438
173,6.102299,10.773438
174,5.992044,10.773438
175,6.024253,10.773438
176,5.869113,10.773438
177,6.294123,10.773438
178,5.881213,10.773438
179,6.067534,10.773438
180,6.056972,10.773438
181,5.868520,10.773438
182,6.121688,10.773438
183,6.024791,10.773438
184,6.015578,10.773438
185,6.075515,10.773438
186,5.775225,10.773438
187,6.031813,10.773438
188,5.964971,10.773438
189,6.024253,10.773438
190,6.023224,10.773438
191,5.762141,10.773438
192,6.102623,10.773438
193,5.783392,10.773438
194,6.317622,10.773438
195,6.000792,10.773438
196,5.791395,10.773438
197,5.971415,10.773438
198,5.756867,10.773438
199,6.183826,10.773438
200,6.278405,10.773438
201,6.195909,10.773438
202,6.353304,10.773438
203,5.838075,10.773438
204,5.964824,10.773438
205,5.838031,10.773438
206,5.978129,10.773438
207,6.039459,10.773438
208,6.156520,10.773438
209,5.900650,10.773438
210,6.195192,10.773438
211,6.294882,10.773438
212,6.067534,10.773438
213,6.041111,10.773438
214,5.869247,10.773438
215,5.891026,10.773438
216,5.971791,10.773438
217,6.092669,10.773438
218,5.880670,10.773438
219,5.791165,10.773438
220,5.971488,10.773438
221,5.843180,10.773438
222,5.964761,10.773438
223,6.057105,10.773438
224,5.965361,10.773438
225,6.017435,10.773438
226,6.040859,10.773438
227,6.137563,10.773438
228,5.812417,10.773438
229,6.009840,10.773438
230,5.774757,10.773438
231,5.890798,10.773438
232,5.994173,10.773438
233,5.977900,10.773438
234,6.272335,10.773438
235,5.860176,10.773438
236,6.057105,10.773438
237,5.822639,10.773438
238,5.970495,10.773438
239,6.092124,10.773438
240,6.023779,10.773438
241,5.869651,10.773438
242,5.833474,10.773438
243,5.984557,10.773438
244,6.288781,10.773438
245,5.964710,10.773438
246,5.807183,10.773438
247,6.075956,10.773438
248,5.869238,10.773438
249,5.993169,10.773438
250,5.838075,10.773438
