step,gpu_mem_gb,gpu_mem_reserved_gb
1,3.127947,3.271484
2,2.932186,3.587891
3,2.684364,3.587891
4,2.795836,3.587891
5,2.920160,3.587891
6,2.910748,3.587891
7,2.876636,3.587891
8,2.680602,3.587891
9,3.042640,3.589844
10,3.068619,3.589844
11,2.981342,3.589844
12,2.934269,3.589844
13,2.858353,3.589844
14,2.918876,3.589844
15,3.054322,3.589844
16,2.702418,3.589844
17,2.994842,3.589844
18,3.001295,3.589844
19,2.991649,3.589844
20,2.935421,3.589844
21,2.724433,3.589844
22,2.785989,3.589844
23,2.740293,3.589844
24,2.916852,3.589844
25,2.948993,3.589844
26,3.128696,3.591797
27,2.908504,3.591797
28,3.025146,3.591797
29,3.213264,4.611328
30,2.930751,4.611328
31,2.980879,4.611328
32,2.880681,4.611328
33,2.710694,4.611328
34,2.916835,4.611328
35,3.099704,4.611328
36,2.853177,4.611328
37,2.723252,4.611328
38,2.994435,4.611328
39,2.821137,4.611328
40,2.957616,4.611328
41,2.980223,4.611328
42,2.923070,4.611328
43,3.089437,4.611328
44,2.879542,4.611328
45,2.907517,4.611328
46,3.103288,4.611328
47,3.061659,4.611328
48,3.063097,4.611328
49,2.876200,4.611328
50,2.827964,4.611328
51,2.950925,4.611328
52,3.088635,4.611328
53,3.123956,4.611328
54,3.120752,4.611328
55,2.715753,4.611328
56,2.996275,4.611328
57,2.850070,4.611328
58,2.823213,4.611328
59,3.032384,4.611328
60,2.830887,4.611328
61,3.016530,4.611328
62,2.870057,4.611328
63,1.612365,4.839844
64,2.903949,4.839844
65,2.936100,4.839844
66,2.996501,4.839844
67,2.985118,4.839844
68,2.846669,4.839844
69,2.803338,4.839844
70,2.871908,4.839844
71,2.951002,4.839844
72,2.886177,4.839844
73,2.899426,4.839844
74,2.912121,4.839844
75,3.051536,4.839844
76,2.717400,4.839844
77,3.120224,4.839844
78,3.097874,4.839844
79,3.069306,4.839844
80,2.949806,4.839844
81,2.887401,4.839844
82,2.721125,4.839844
83,2.878035,4.839844
84,2.933916,4.839844
85,2.720427,4.839844
86,3.016295,4.839844
87,2.692141,4.839844
88,3.007833,4.839844
89,2.820391,4.839844
90,2.748677,4.839844
91,2.841740,4.839844
92,2.961612,4.839844
93,3.020221,4.839844
94,2.813677,4.839844
95,3.057483,4.839844
96,2.988890,4.839844
97,2.915727,4.839844
98,3.116304,4.839844
99,3.041332,4.839844
100,3.138874,4.839844
101,2.982376,4.839844
102,2.865950,4.839844
103,2.812604,4.839844
104,3.205005,4.839844
105,3.117752,4.839844
106,3.104871,4.839844
107,2.933963,4.839844
108,2.966150,4.839844
109,2.689466,4.839844
110,2.717308,4.839844
111,2.795864,4.839844
112,2.880227,4.839844
113,3.106940,4.839844
114,3.026511,4.839844
115,2.874161,4.839844
116,2.856526,4.839844
117,2.949009,4.839844
118,2.992740,4.839844
119,3.108295,4.839844
120,2.914046,4.839844
121,2.917325,4.839844
122,3.019713,4.839844
123,2.821044,4.839844
124,2.804292,4.839844
125,2.963422,4.839844
126,1.593755,4.839844
127,2.883868,4.839844
128,2.714345,4.839844
129,2.972139,4.839844
130,3.114966,4.839844
131,2.887228,4.839844
132,2.911401,4.839844
133,2.881761,4.839844
134,2.833666,4.839844
135,2.985771,4.839844
136,2.885249,4.839844
137,2.750115,4.839844
138,2.945338,4.839844
139,2.886259,4.839844
140,3.108473,4.839844
141,3.062079,4.839844
142,3.023979,4.839844
143,2.871339,4.839844
144,2.818476,4.839844
145,2.888225,4.839844
146,2.943919,4.839844
147,2.818140,4.839844
148,2.836267,4.839844
149,2.812278,4.839844
150,2.893325,4.839844
151,2.987430,4.839844
152,2.891752,4.839844
153,3.042682,4.839844
154,2.830864,4.839844
155,3.099504,4.839844
156,2.934933,4.839844
157,3.038513,4.839844
158,2.965389,4.839844
159,3.051287,4.839844
160,2.954583,4.839844
161,3.110038,4.839844
