step,gpu_mem_gb,gpu_mem_reserved_gb
1,4.013036,4.091797
2,3.934474,4.515625
3,3.922298,4.515625
4,3.971650,4.941406
5,3.955519,4.941406
6,4.138815,6.279297
7,3.950696,6.279297
8,4.272333,7.662109
9,3.940352,7.662109
10,3.980878,7.662109
11,4.190248,7.662109
12,4.120152,7.662109
13,4.026362,7.662109
14,3.941319,7.662109
15,3.984641,7.662109
16,4.306203,9.056641
17,4.117759,9.056641
18,3.118136,9.056641
19,4.058345,9.056641
20,4.118531,9.056641
21,4.295866,9.056641
22,3.991411,9.056641
23,3.947950,9.056641
24,3.872735,9.056641
25,4.131933,9.056641
26,4.302062,9.056641
27,4.138676,9.056641
28,3.928287,9.056641
29,3.971240,9.056641
30,4.045078,9.056641
31,4.017872,9.056641
32,3.940092,9.056641
33,3.968082,9.056641
34,3.955579,9.056641
35,3.994854,9.056641
36,3.062555,9.080078
37,3.897595,9.080078
38,3.902380,9.080078
39,4.054694,9.080078
40,4.112748,9.080078
41,4.080861,9.080078
42,4.024006,9.080078
43,4.019155,9.080078
44,3.939000,9.080078
45,3.916175,9.080078
46,4.174945,9.080078
47,4.272356,9.080078
48,3.855286,9.080078
49,4.122871,9.080078
50,3.941400,9.080078
51,4.300160,9.080078
52,4.060165,9.080078
53,3.975502,9.080078
54,3.070284,9.080078
55,3.932337,9.080078
56,3.987823,9.080078
57,3.960656,9.080078
58,3.875991,9.080078
59,4.055994,9.080078
60,4.184582,9.080078
61,4.285790,9.080078
62,4.136003,9.080078
63,3.931481,9.080078
64,3.976199,9.080078
65,4.028997,9.080078
66,4.138702,9.080078
67,3.892457,9.080078
68,4.302962,9.080078
69,3.924662,9.080078
70,4.052921,9.080078
71,4.119418,9.080078
72,3.047715,9.080078
73,4.138569,9.080078
74,4.063623,9.080078
75,3.971868,9.080078
76,4.055910,9.080078
77,4.041024,9.080078
78,3.954723,9.080078
79,4.269480,9.080078
80,3.931063,9.080078
81,4.142674,9.080078
82,3.933860,9.080078
83,4.290760,9.080078
84,3.930432,9.080078
85,4.119666,9.080078
86,3.736937,9.080078
87,4.024760,9.080078
88,3.981353,9.080078
89,4.176686,9.080078
90,3.095467,9.082031
91,3.983999,9.082031
92,4.251835,9.082031
93,4.117129,9.082031
94,3.992536,9.082031
95,3.892689,9.082031
96,3.946889,9.082031
97,3.922340,9.082031
98,4.126723,9.082031
99,3.928796,9.082031
100,4.139447,9.082031
101,4.191302,9.082031
102,3.967158,9.082031
103,4.056129,9.082031
104,3.934608,9.082031
105,4.025167,9.082031
106,4.059526,9.082031
107,4.298764,9.082031
108,3.098195,9.082031
109,4.320346,9.082031
110,3.957703,9.082031
111,3.887115,9.082031
112,4.105376,9.082031
113,3.971081,9.082031
114,3.963768,9.082031
115,4.062980,9.082031
116,4.130589,9.082031
117,4.189777,9.082031
118,4.136724,9.082031
119,3.950974,9.082031
120,3.984858,9.082031
121,4.271740,9.082031
122,3.873198,9.082031
123,4.049922,9.082031
124,3.935306,9.082031
125,4.024575,9.082031
126,2.865203,9.082031
127,4.038840,9.082031
128,4.175075,9.082031
129,4.109632,9.082031
130,4.054620,9.082031
131,3.894733,9.082031
132,3.948089,9.082031
133,4.263132,9.082031
134,3.874270,9.082031
135,3.864459,9.082031
136,4.295891,9.082031
137,4.020139,9.082031
138,3.981317,9.082031
139,3.960288,9.082031
140,4.143366,9.082031
141,4.062078,9.082031
142,3.934035,9.082031
143,4.043728,9.082031
144,3.131716,9.082031
145,3.917193,9.082031
146,3.933712,9.082031
147,3.989226,9.082031
148,4.187311,9.082031
149,3.972510,9.082031
150,3.979112,9.082031
151,4.050416,9.082031
152,4.300929,9.082031
153,4.142278,9.082031
154,4.055314,9.082031
155,4.144268,9.082031
156,3.976812,9.082031
157,3.929125,9.082031
158,3.947122,9.082031
159,3.879455,9.082031
160,4.073682,9.082031
161,3.881261,9.082031
162,3.047094,9.082031
163,3.704025,9.082031
164,3.973371,9.082031
165,3.932259,9.082031
166,4.173447,9.082031
167,4.041937,9.082031
168,3.986800,9.082031
169,3.914997,9.082031
170,4.263886,9.082031
171,3.891066,9.082031
172,4.029267,9.082031
173,4.144102,9.082031
174,4.028764,9.082031
175,4.058411,9.082031
176,3.952237,9.082031
177,3.985011,9.082031
178,4.300406,9.082031
179,4.119716,9.082031
180,3.012993,9.082031
181,3.912226,9.082031
182,3.866561,9.082031
183,3.979541,9.082031
184,4.130943,9.082031
