step,gpu_mem_gb,gpu_mem_reserved_gb
1,4.578099,4.677734
2,4.408312,5.156250
3,4.586083,5.658203
4,4.771863,7.216797
5,4.535617,7.216797
6,4.558640,7.216797
7,4.657506,7.216797
8,4.798430,8.781250
9,4.517910,8.781250
10,4.202336,8.781250
11,4.576326,8.781250
12,4.295843,8.781250
13,4.428296,8.781250
14,4.376218,8.781250
15,4.248680,8.781250
16,4.463511,8.781250
17,4.321795,8.781250
18,4.682088,8.781250
19,4.456747,8.781250
20,4.417851,8.781250
21,4.199262,8.781250
22,4.584853,8.781250
23,4.744010,8.781250
24,4.504235,8.781250
25,4.440708,8.781250
26,4.746221,8.781250
27,4.530297,8.781250
28,4.472365,8.781250
29,4.411383,8.781250
30,4.377451,8.781250
31,4.658187,8.781250
32,4.493230,8.781250
33,4.257181,8.781250
34,4.403560,8.781250
35,4.512571,8.781250
36,4.663913,8.781250
37,4.513093,8.781250
38,4.760284,8.781250
39,4.585498,8.781250
40,4.381347,8.781250
41,4.529746,8.781250
42,4.594267,8.781250
43,4.706313,8.781250
44,4.401929,8.781250
45,4.739304,8.781250
46,4.579679,8.781250
47,4.538818,8.781250
48,4.452747,8.781250
49,4.393285,8.781250
50,4.171438,8.781250
51,4.413655,8.781250
52,4.580316,8.781250
53,4.454541,8.781250
54,4.531000,8.781250
55,4.419706,8.781250
56,4.287466,8.781250
57,4.327210,8.781250
58,4.526727,8.781250
59,4.837728,10.363281
60,4.466002,10.363281
61,4.411539,10.363281
62,4.726000,10.363281
63,2.510938,10.437500
64,4.436169,10.437500
65,4.216909,10.437500
66,4.404627,10.437500
67,4.585670,10.437500
68,4.293192,10.437500
69,4.826828,10.437500
70,4.518000,10.437500
71,4.483028,10.437500
72,4.393688,10.437500
73,4.578118,10.437500
74,4.663901,10.437500
75,4.392280,10.437500
76,4.165133,10.437500
77,4.263809,10.437500
78,4.299562,10.437500
79,4.462285,10.437500
80,4.212437,10.437500
81,4.655428,10.437500
82,4.576175,10.437500
83,4.501825,10.437500
84,4.459671,10.437500
85,4.290420,10.437500
86,4.686680,10.437500
87,4.659923,10.437500
88,4.740676,10.437500
89,4.739520,10.437500
90,4.401692,10.437500
91,4.277987,10.437500
92,4.152415,10.437500
93,4.385247,10.437500
94,4.480785,10.437500
95,4.732785,10.437500
96,4.511219,10.437500
97,4.563924,10.437500
98,4.330367,10.437500
99,4.483078,10.437500
100,4.583717,10.437500
101,4.461737,10.437500
102,4.580212,10.437500
103,4.594663,10.437500
104,4.425608,10.437500
105,4.409197,10.437500
106,4.303387,10.437500
107,4.532141,10.437500
108,4.258312,10.437500
109,4.520897,10.437500
110,4.284808,10.437500
111,4.701296,10.437500
112,4.758375,10.437500
113,4.584078,10.437500
114,4.577046,10.437500
115,4.380233,10.437500
116,4.764420,10.437500
117,4.423945,10.437500
118,4.166685,10.437500
119,4.392773,10.437500
120,4.400543,10.437500
121,4.416158,10.437500
122,4.501511,10.437500
123,4.228448,10.437500
124,4.778787,10.437500
125,4.418836,10.437500
126,2.451765,10.437500
127,4.573025,10.437500
128,4.408318,10.437500
129,4.588021,10.437500
130,4.786008,10.437500
131,4.709599,10.437500
132,4.468162,10.437500
133,4.493409,10.437500
134,4.530357,10.437500
135,4.775867,10.437500
136,4.832252,10.437500
137,4.371714,10.437500
138,4.739104,10.437500
139,4.514022,10.437500
140,4.395086,10.437500
141,4.683913,10.437500
142,4.389163,10.437500
143,4.427051,10.437500
144,4.464744,10.437500
145,4.541391,10.437500
146,4.496876,10.437500
147,4.275781,10.437500
148,4.720861,10.437500
149,4.404346,10.437500
150,4.530630,10.437500
151,4.241561,10.437500
152,4.646566,10.437500
153,4.650117,10.437500
154,4.571982,10.437500
155,4.476014,10.437500
156,4.657077,10.437500
157,4.514519,10.437500
158,4.200806,10.437500
159,4.239422,10.437500
160,4.388911,10.437500
161,4.464679,10.437500
162,4.377339,10.437500
163,4.741760,10.437500
164,4.428170,10.437500
165,4.423951,10.437500
166,4.409456,10.437500
167,4.414979,10.437500
168,4.535325,10.437500
169,4.581815,10.437500
170,4.412894,10.437500
171,4.216071,10.437500
172,4.736805,10.437500
173,4.159358,10.437500
174,4.299424,10.437500
175,4.600371,10.437500
176,4.491077,10.437500
177,4.518046,10.437500
178,4.413320,10.437500
179,4.771273,10.437500
180,4.391678,10.437500
181,4.588599,10.437500
182,4.548038,10.437500
183,4.403892,10.437500
184,4.589601,10.437500
185,4.527232,10.437500
186,4.510848,10.437500
187,4.587406,10.437500
188,4.241492,10.437500
189,2.382762,10.439453
190,4.505833,10.439453
191,4.406077,10.439453
192,4.507588,10.439453
193,4.537663,10.439453
194,4.205370,10.439453
195,4.578187,10.439453
196,4.286623,10.439453
197,4.784828,10.439453
198,4.657451,10.439453
199,4.294670,10.439453
200,4.455608,10.439453
201,4.182568,10.439453
