label,technique,fits,peak_vram_gb,peak_ram_gb,peak_ram_delta_gb,wallclock_per_step_s,wallclock_per_epoch_s,final_train_loss,steps,status,run_seconds,note,trainable_params,total_params,pct_params,total_train_examples,planned_steps,task,metric,n_train,n_val,n_test,hashes,artifacts,method,base_model,peak_reserved_gb,baseline_ram_gb,eval_metric,eval_score,wallclock_s,mem_trace,exit_code,error,technique.name,levers.use_8bit_adam,levers.gradient_checkpointing
baseline_paged8bit,baseline,True,27.6069,1.904,0.945,2.2723,290.85,0.49381,50.0,ok,127.6,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_baseline_paged8bit.csv', 'ram_trace': 'results/phase05/mem_trace/p05_baseline_paged8bit.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,27.75,0.9589,exact_match,0.60773,113.61,results/phase05/mem_trace/p05_baseline_paged8bit.csv,,,,,
galore,galore,True,30.4141,1.9477,0.9892,6.0148,769.89,0.42324,50.0,ok,314.4,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_galore.csv', 'ram_trace': 'results/phase05/mem_trace/p05_galore.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,30.5664,0.9585,exact_match,0.8674,300.74,results/phase05/mem_trace/p05_galore.csv,,,,,
qgalore,qgalore,True,28.5241,1.9268,0.9684,6.0417,773.34,0.34481,50.0,ok,315.8,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_qgalore.csv', 'ram_trace': 'results/phase05/mem_trace/p05_qgalore.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,29.2207,0.9584,exact_match,0.87845,302.09,results/phase05/mem_trace/p05_qgalore.csv,,,,,
lomo,lomo,True,14.6019,1.7393,0.817,0.2867,36.7,3.77485,50.0,ok,33.4,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_lomo.csv', 'ram_trace': 'results/phase05/mem_trace/p05_lomo.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.123,0.9223,exact_match,0.0,14.34,results/phase05/mem_trace/p05_lomo.csv,,,,,
adalomo,adalomo,True,15.1014,1.826,0.9027,0.5961,76.3,1.91949,50.0,ok,48.4,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_adalomo.csv', 'ram_trace': 'results/phase05/mem_trace/p05_adalomo.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,15.623,0.9233,exact_match,0.45304,29.8,results/phase05/mem_trace/p05_adalomo.csv,,,,,
badam,badam,True,17.5957,1.923,0.9707,1.0344,132.4,0.24866,50.0,ok,64.7,,218112000.0,7241732096.0,3.011876,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_badam.csv', 'ram_trace': 'results/phase05/mem_trace/p05_badam.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,18.0527,0.9524,exact_match,0.85635,51.72,results/phase05/mem_trace/p05_badam.csv,,,,,
zero_offload_fp32,zero_offload,False,0.0,94.9,,,,,,ok,2.6,fp32 CPUAdam state ~81GB + ~14GB model > 86GB available RAM; OOM-killed in smoke (exit 137). DeepSpeed has no 8-bit CPU optimizer. Set LORA_LAB_FORCE_OFFLOAD=1 to attempt anyway.,,,,,,task843_financial_phrasebank_classification,,,,,,,full_ft,mistralai/Mistral-7B-Instruct-v0.2,,0.734,,,,,,,,,
abl_anchor,baseline,True,27.6069,1.8987,0.9402,2.2559,288.76,0.33652,50.0,ok,126.4,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_abl_anchor.csv', 'ram_trace': 'results/phase05/mem_trace/p05_abl_anchor.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,27.75,0.9585,exact_match,0.64088,112.8,results/phase05/mem_trace/p05_abl_anchor.csv,,,,,
abl_no_8bit,,False,,,,,,,,no_row,,,,,,,,,,,,,,,,,,,,,,,1.0,"          ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/shadow1/miniconda3/envs/lora_lab/lib/python3.11/site-packages/torch/optim/adam.py"", line 238, in step
    has_complex = self._init_group(
                  ^^^^^^^^^^^^^^^^^
  File ""/home/shadow1/miniconda3/envs/lora_lab/lib/python3.11/site-packages/torch/optim/adam.py"", line 182, in _init_group
    state[""exp_avg_sq""] = torch.zeros_like(
                          ^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 112.00 MiB. GPU 0 has a total capacity of 31.36 GiB of which 4.12 MiB is free. Including non-PyTorch memory, this process has 31.33 GiB memory in use. Of the allocated memory 30.64 GiB is allocated by PyTorch, and 104.73 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",baseline,False,True
abl_no_gradckpt,baseline,True,29.8633,1.8959,0.9376,1.9678,251.87,0.62111,50.0,ok,111.9,,7241732096.0,7241732096.0,100.0,1024.0,50.0,task843_financial_phrasebank_classification,exact_match,1024.0,64.0,181.0,"{'train': '52d007805cad', 'val': '71841fbd76c0', 'test': '4ce5e10f6600'}","{'mem_trace': 'results/phase05/mem_trace/p05_abl_no_gradckpt.csv', 'ram_trace': 'results/phase05/mem_trace/p05_abl_no_gradckpt.ram.csv'}",full_ft,mistralai/Mistral-7B-Instruct-v0.2,30.1016,0.9583,exact_match,0.37569,98.39,results/phase05/mem_trace/p05_abl_no_gradckpt.csv,,,,,
mezo,mezo,True,13.7721,5.2191,4.4302,0.2195,,14.47308,50.0,ok,,forward-only; trainable_params count=0 is an artifact (updates all params zeroth-order); needs >>500 steps,,,,,,,,,,,,,,,,,exact_match,0.0,,,,,,,
fsdp_offload,fsdp_offload,True,27.5037,62.4996,61.7099,9.3961,,1.1647,50.0,ok,,"CPU-offload FITS at 62.5GB RAM (no fp32 master, unlike DeepSpeed) but ~45x slower; eval skipped (generation impractical under offload)",,,,,,,,,,,,,,,,,exact_match,,,,,,,,
